ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;8;31000;31000;116;0;33;0;0;0;33;0;0.0037419354838709677;0.0006341935483870968;;21746;21781;5283;14931;21775;21694;26050;4401;989945;22418
2;7;31000;31000;4883;0;33;0;0;0;33;0;0.15751612903225806;0.0006341935483870968;;880409;888392;30067;39488;882822;880202;889696;4401;1014780;882934
3;6;34000;34000;1369;0;30;1;0;0;30;1;0.04026470588235294;0.0005782352941176471;;247423;1160683;4543;922114;278171;247368;1161460;3645;2075695;278913
4;5;39000;39000;1230;0;26;0;-1;0;26;1;0.031538461538461536;0.0005041025641025641;;222401;226356;4543;1171813;222567;222343;1135381;3652;1742577;258087
5;4;44000;44000;12505;0;23;24;9;0;23;15;0.28420454545454543;0.00044681818181818185;;2253216;3655111;4543;1396544;2853566;2253126;3400975;3652;1394996;2691370
6;3;63000;63000;4609;0;16;6;-3;0;16;9;0.07315873015873016;0.00031206349206349207;;830977;3350466;4668;3652231;1105098;830923;3575952;92431;4846418;1350149
7;2;67000;67000;15447;0;15;35;11;0;15;24;0.23055223880597014;0.0002934328358208955;;2783103;8673133;4543;4485651;6042396;2783048;6450779;3666;4484143;4832993
8;1;91000;91000;6689;1;11;13;1;0;11;12;0.07350549450549451;0.00021604395604395604;;1205633;9890580;4543;10929735;4144768;1206350;8571901;3666;10928245;3236924
;;1000000;;;;;79;;;;62;0.8944822408616837;0.0036190834207409307;0.8981013242824246
;;;;;;;0.21518987341772153;;;;;
