ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;8;26000;26000;9266;0;39;0;0;0;39;0;0.3563846153846154;0.001546153846153846
2;7;44000;44000;5833;0;23;3;0;0;23;3;0.1325681818181818;0.0009136363636363636
3;6;54000;54000;234;0;19;0;0;0;19;0;0.004333333333333333;0.0007444444444444445
4;5;64000;64000;5825;0;16;4;-2;0;16;6;0.091015625;0.000628125
5;4;65000;65000;6237;0;16;9;1;0;16;8;0.09595384615384615;0.0006184615384615384
6;3;83000;83000;3063;0;12;7;3;0;12;4;0.03690361445783132;0.00048433734939759034
7;2;95000;95000;2685;0;11;5;0;0;11;5;0.02826315789473684;0.0004231578947368421
8;1;100000;100000;14873;1;10;28;6;0;10;22;0.14873;0.000402
;;1000000;;;;;56;;;;48;0.894152374042545;0.005760316436830625;0.8999126904793756
;;;;;;;0.14285714285714285;;;;;
