ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;16;33000;33000;3774;0;31;0;0;0;31;0;0.11436363636363636;0.0005957575757575758;;680544;685404;4536;21920;682436;680453;690844;3648;1349444;683535
2;15;35000;35000;1575;0;29;1;0;0;29;1;0.045;0.0005617142857142857;;284529;972476;4661;705273;308854;284525;973244;3641;1323544;309726
3;14;38000;38000;3040;0;27;5;0;0;27;5;0.08;0.0005173684210526316;;548440;1244360;4642;992103;647729;548384;1245919;3640;989085;648292
4;13;46000;46000;168;0;22;0;0;0;22;0;0.0036521739130434784;0.0004273913043478261;;31101;31237;4661;1542819;31131;31044;31988;3640;1539819;31689
5;12;55000;55000;1998;0;19;3;0;0;19;3;0.03632727272727273;0.00035745454545454546;;360761;652949;4536;1576252;380568;360704;652796;3640;4316004;381379
6;11;68000;68000;2503;0;15;3;1;0;15;2;0.03680882352941176;0.00028911764705882354;;451661;1007784;4536;1939401;512005;451604;1300514;3641;3909532;529278
7;10;70000;70000;643;0;15;1;-1;0;15;2;0.009185714285714285;0.00028085714285714286;;116611;673546;293138;2393620;154105;116554;809047;292952;5365227;199934
8;9;72000;72000;2764;0;14;4;1;0;14;3;0.03838888888888889;0.0002730555555555556;;498632;1067791;4536;2512731;622109;498574;1058889;3647;3985086;605785
9;8;75000;75000;513;0;14;0;-1;0;14;1;0.00684;0.0002621333333333334;;93202;93338;4536;3014033;93263;93145;386145;3640;4619454;114322
10;7;76000;76000;671;0;14;1;0;0;14;1;0.008828947368421053;0.0002586842105263158;;121643;161486;557171;3109976;124515;121586;161415;557039;3996270;125103
11;6;78000;78000;2790;0;13;2;-4;0;13;6;0.03576923076923077;0.00025205128205128206;;503352;1010098;4543;3234287;545369;503268;1756131;3666;4292161;709682
12;5;80000;80000;4213;0;13;6;-1;0;13;7;0.0526625;0.00024575000000000004;;759699;1451879;4567;3740451;919591;759639;1451953;3672;6402013;999483
13;4;91000;91000;2875;0;11;7;-1;0;11;8;0.03159340659340659;0.00021604395604395604;;518624;1210985;4543;4500436;697358;518570;1499430;3666;4500095;782904
14;3;92000;92000;15555;0;11;35;11;0;11;24;0.16907608695652174;0.00021369565217391304;;3366833;6563847;39821;5024487;5033371;3367074;5231413;39623;5021673;4359840
15;2;93000;93000;16331;1;11;45;22;0;11;23;0.17560215053763442;0.00021139784946236562;;3487884;12715849;2423299;9404293;6352301;2955079;5013147;2423640;9401544;4131555
16;1;99000;99000;4755;1;10;13;5;0;10;8;0.04803030303030303;0.0001985858585858586;;857359;3871904;1028786;27276215;1553997;857303;2395732;1028159;12359477;1213799
;;1000000;;;;;126;;;;94;0.8921291349634851;0.005161058619975411;0.8972901935834605
;;;;;;;0.25396825396825395;;;;;
