ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;13000;13000;770;0;77;0;0;0;77;0;0.05923076923076923;0.0;;139452;139487;4655;16656;139481;139366;140348;3640;14774;140313
2;9;18000;18000;1303;0;56;4;-1;0;56;5;0.07238888888888889;0.0;;235568;386380;4638;158919;246208;235566;387614;3640;577785;249630
3;8;21000;21000;307;0;48;0;0;0;48;0;0.014619047619047618;0.0;;56123;56258;4655;396789;56150;56070;57014;3647;1785408;56704
4;7;32000;32000;786;0;32;0;0;0;32;0;0.0245625;0.0;;142347;142482;4655;455188;142392;142294;143238;3647;3940227;142730
5;6;36000;36000;50;0;28;0;0;0;28;0;0.001388888888888889;0.0;;9866;9866;243966;600000;9866;9813;11194;243798;3716480;9855
6;5;42000;42000;5830;0;24;25;3;0;24;22;0.1388095238095238;0.0;;1050870;1455437;64581;612254;1251689;1050820;1450169;64411;4272178;1226192
7;4;62000;62000;5170;0;17;16;3;0;16;13;0.08338709677419355;0.0;;932076;2600677;4655;1665682;1341124;932021;2587243;3666;8765767;1180653
8;3;80000;80000;3948;0;13;10;-1;0;12;11;0.04935;0.0;;711906;2216667;4657;2747153;1041790;711929;1103712;991658;11385388;862882
9;2;88000;88000;2931;0;12;4;-8;0;11;12;0.03330681818181818;0.0;;528715;739110;4655;3704616;563825;528749;3122623;3281278;6475162;950915
10;1;92000;92000;46262;10;10;151;44;0;11;107;0.5028478260869566;0.0;;15210642;18064374;1287852;4299577;16130850;10101852;13822664;54407;4297408;11455680
;;1000000;;;;;210;;;;170;0.9798913594800867;0.0;0.9798913594800867
;;;;;;;0.19047619047619047;;;;;
