ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;21000;21000;1173;0;48;0;0;0;48;0;0.055857142857142855;0.0;;212126;216301;5380;16656;212569;212041;217550;4385;1744567;213167
2;9;21000;21000;2346;0;48;0;0;0;48;0;0.11171428571428571;0.0;;423383;431796;220414;231591;424303;423297;432067;4411;1313761;425231
3;8;38000;38000;9610;0;26;12;-3;0;26;15;0.2528947368421053;0.0;;1731757;2391556;4638;657192;2008591;1731678;2392653;3666;3120362;2086300
4;7;42000;42000;573;0;24;1;1;0;24;0;0.013642857142857142;0.0;;103995;1847315;647617;2391311;177031;103942;108523;940562;4982151;104372
5;6;55000;55000;5579;0;18;6;-1;0;18;7;0.10143636363636363;0.0;;1005681;3391316;4655;2497638;1453265;1005629;1661940;2495743;6476737;1261771
6;5;58000;58000;9137;0;17;17;7;0;17;10;0.1575344827586207;0.0;;1646596;5808285;4655;3505826;2786269;1646543;4145952;1933361;6399697;2242736
7;4;59000;59000;4468;0;17;10;8;0;17;2;0.07572881355932204;0.0;;805595;3300243;4655;5801501;1604862;805541;1460778;4185497;8391421;884667
8;3;60000;60000;1284;0;17;2;1;0;17;1;0.0214;0.0;;232121;2726210;4657;6609594;519197;232069;883003;4575663;7986958;270695
9;2;68000;68000;12427;12;15;41;32;0;15;9;0.18275;0.0;;2239064;18344870;4670;12307295;10653634;2239088;4638249;3757377;8236536;2753084
10;1;71000;71000;1202;6;6;3;3;0;14;0;0.016929577464788733;0.0;;217273;21560574;92554108;134010127;7224844;217297;221880;7134170;9948900;218286
;;1000000;;;;;92;;;;44;0.989888259975486;0.0;0.989888259975486
;;;;;;;0.5217391304347826;;;;;
