ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;22000;22000;343;0;46;0;0;0;46;0;0.015590909090909091;0.0008936363636363637;;62597;62632;4536;16658;62626;62507;63489;3640;14777;63399
2;9;26000;26000;3034;0;39;4;0;0;39;4;0.11669230769230769;0.0007561538461538463;;547349;619005;4536;82066;555323;547260;619818;3640;80001;556069
3;8;39000;39000;1253;0;26;2;0;0;26;2;0.03212820512820513;0.0005041025641025641;;226531;296421;4536;631632;232067;226474;297050;3640;629555;232432
4;7;66000;66000;9385;0;15;7;0;0;15;7;0.1421969696969697;0.0002978787878787879;;1691237;2481451;70950;860438;1890273;1691180;2481560;70750;858380;1890442
5;6;67000;67000;5883;0;15;6;-3;0;15;9;0.08780597014925373;0.0002934328358208955;;1060525;1854993;4688;2554121;1245738;1060469;1855246;3686;2552088;1281126
6;5;73000;73000;6270;0;14;15;1;0;14;14;0.08589041095890411;0.0002693150684931507;;1130192;4822009;4536;3617035;1685971;1130137;3134212;3661;3615019;1577408
7;4;76000;76000;8200;0;13;8;1;0;13;7;0.10789473684210527;0.0002586842105263158;;1477820;5170971;4536;5374223;2020862;1477765;4034073;3661;5372044;1933641
8;3;78000;78000;45;0;13;0;0;0;13;0;0.000576923076923077;0.00025205128205128206;;8967;10327;786253;6854660;9068;8910;9917;785957;6852502;8985
9;2;80000;80000;7228;0;13;12;1;0;13;11;0.09035;0.00024575000000000004;;1302740;6686294;4536;6866183;2125811;1302682;4366606;3661;6864042;1890954
10;1;99000;99000;1471;0;10;0;0;0;10;0;0.01485858585858586;0.0001985858585858586;;265784;265903;4560;8475547;265809;265728;266531;3667;8473250;265829
;;1000000;;;;;54;;;;54;0.6939850184941637;0.003969590817249065;0.6979546093114127
;;;;;;;0.0;;;;;
