ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;10000;10000;813;0;100;0;0;0;100;0;0.0813;0.004019999999999999
2;9;17000;17000;679;0;59;0;0;0;59;0;0.03994117647058824;0.002364705882352941
3;8;27000;27000;2893;0;37;12;0;0;37;12;0.10714814814814815;0.001488888888888889
4;7;38000;38000;8353;0;27;39;-1;0;27;40;0.21981578947368421;0.0010578947368421053
5;6;40000;40000;1283;0;25;7;1;0;25;6;0.032075;0.0010049999999999998
6;5;42000;42000;3161;0;24;16;-1;0;24;17;0.07526190476190477;0.0009571428571428571
7;4;62000;62000;3221;0;16;16;1;0;16;15;0.05195161290322581;0.0006483870967741935
8;3;65000;65000;6465;0;16;27;4;0;16;23;0.09946153846153846;0.0006184615384615384
9;2;84000;84000;10339;0;12;40;-2;0;12;42;0.12308333333333334;0.00047857142857142857
10;1;94000;94000;5329;1;11;28;2;0;11;26;0.056691489361702124;0.00042765957446808513
;;1000000;;;;;185;;;;181;0.8867299929141251;0.013066712003502035;0.8997967049176272
;;;;;;;0.021621621621621623;;;;;
