ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;14000;14000;201;0;72;0;0;0;72;0;0.014357142857142857;0.002871428571428571
2;9;30000;30000;3186;0;34;4;0;0;34;4;0.1062;0.00134
3;8;42000;42000;2723;0;24;0;0;0;24;0;0.06483333333333334;0.0009571428571428571
4;7;51000;51000;959;0;20;1;0;0;20;1;0.018803921568627452;0.0007882352941176471
5;6;53000;53000;2088;0;19;3;0;0;19;3;0.03939622641509434;0.0007584905660377359
6;5;58000;58000;4987;0;18;13;0;0;18;13;0.08598275862068966;0.000693103448275862
7;4;67000;67000;4505;0;15;8;0;0;15;8;0.06723880597014925;0.0006000000000000001
8;3;86000;86000;4611;0;12;9;0;0;12;9;0.053616279069767445;0.00046744186046511623
9;2;88000;88000;1565;0;12;1;0;0;12;1;0.01778409090909091;0.0004568181818181818
10;1;93000;93000;2070;0;11;5;0;0;11;5;0.022258064516129033;0.000432258064516129
;;1000000;;;;;44;;;;44;0.49047062326002433;0.009364918843802101;0.4998355421038264
;;;;;;;0.0;;;;;
