ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;10;12000;12000;820;0;84;0;0;0;84;0;0.06833333333333333;0.0016383333333333334;;148464;148499;4536;16658;148493;148374;149356;3640;14777;149269
2;9;21000;21000;226;0;48;0;0;0;48;0;0.010761904761904762;0.0009361904761904763;;41569;45580;4536;167933;41664;41579;45720;3640;165868;42257
3;8;23000;23000;102;0;44;0;0;0;44;0;0.004434782608695652;0.0008547826086956522;;19218;19248;4536;211819;19234;19161;20105;3647;209743;19911
4;7;43000;43000;3769;0;24;14;0;0;24;14;0.08765116279069768;0.00045720930232558143;;679675;884553;4536;233313;737590;679705;885214;3640;231254;738241
5;6;46000;46000;1392;0;22;4;1;0;22;3;0.030260869565217393;0.0004273913043478261;;251554;1094637;27620;915404;301420;251499;1094399;27420;913365;294268
6;5;58000;58000;1921;0;18;1;0;0;18;1;0.03312068965517241;0.00033896551724137933;;346801;395966;4536;1169346;349766;346833;396734;3647;1956276;350165
7;4;66000;66000;4235;0;16;10;-3;0;15;13;0.06416666666666666;0.0002978787878787879;;763657;1655915;4536;1518677;917509;763601;1273663;3661;3007091;881081
8;3;70000;70000;24256;0;14;79;11;0;14;68;0.3465142857142857;0.00028085714285714286;;4757588;7009085;4536;2440741;5872162;4757001;6214522;3661;2438684;5420790
9;2;73000;73000;1232;0;14;3;-1;0;14;4;0.016876712328767123;0.0002693150684931507;;222756;1397033;140843;7200436;310188;222701;1396524;140432;7198315;324462
10;1;90000;90000;2625;0;11;6;-1;0;11;7;0.029166666666666667;0.00021844444444444445;;473608;1648092;4536;7426349;702079;473554;1392793;3661;7423820;662985
;;1000000;;;;;117;;;;110;0.6912870740914073;0.005719367985807774;0.6970064420772151
;;;;;;;0.05982905982905983;;;;;
