ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;16;11000;11000;287;0;91;0;0;0;91;0;0.02609090909090909;0.0036545454545454546
2;15;12000;12000;1157;0;84;7;7;0;84;0;0.09641666666666666;0.0033499999999999997
3;14;16000;16000;125;0;63;0;0;0;63;0;0.0078125;0.0025125
4;13;34000;34000;1777;0;30;2;-1;0;30;3;0.05226470588235294;0.0011823529411764705
5;12;41000;41000;852;0;25;1;0;0;25;1;0.02078048780487805;0.0009804878048780487
6;11;46000;46000;3330;0;22;18;0;0;22;18;0.07239130434782609;0.0008739130434782608
7;10;59000;59000;1512;0;17;5;0;0;17;5;0.025627118644067796;0.0006813559322033898
8;9;70000;70000;617;0;15;0;0;0;15;0;0.008814285714285714;0.0005742857142857142
9;8;72000;72000;4963;0;14;14;-7;0;14;21;0.06893055555555555;0.0005583333333333333
10;7;84000;84000;7680;0;12;24;-7;0;12;31;0.09142857142857143;0.00047857142857142857
11;6;90000;90000;1760;0;12;5;0;0;11;5;0.019555555555555555;0.0004466666666666667
12;5;92000;92000;9255;0;11;39;5;0;11;34;0.10059782608695653;0.0004369565217391304
13;4;98000;98000;4795;0;11;19;-2;0;10;21;0.048928571428571425;0.00041020408163265306
14;3;98000;98000;19761;1;10;89;24;0;10;65;0.20164285714285715;0.00041020408163265306
15;2;100000;100000;1263;1;10;5;-1;0;10;6;0.01263;0.000402
16;1;100000;100000;2853;1;10;11;-1;0;10;12;0.02853;0.000402
;;1000000;;;;;239;;;;222;0.8824419153490539;0.017354377004143204;0.8997962923531971
;;;;;;;0.07112970711297072;;;;;
