ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;18000;18000;876;0;16;0;0;0;16;0;0.048666666666666664;0.0022333333333333333;;157887;157887;182818;192650;157887;158023;158026;273897;1592675;158023
2;19;18000;18000;385;0;16;0;0;0;16;0;0.021388888888888888;0.0022333333333333333;;69502;69645;348665;358963;69605;69506;69642;439978;1515751;69528
3;18;18000;18000;1079;0;16;0;0;0;16;0;0.059944444444444446;0.0022333333333333333;;194555;194557;426298;436454;194555;194557;194676;517557;1313772;194575
4;17;18000;18000;534;0;16;0;0;0;16;0;0.029666666666666668;0.0022333333333333333;;96449;96450;628832;639006;96449;96315;96451;720310;1209922;96396
5;16;18000;18000;336;0;16;0;0;0;16;0;0.018666666666666668;0.0022333333333333333;;60675;60675;733258;743429;60675;60683;60820;696954;1258730;60713
6;15;18000;18000;1116;0;16;0;0;0;16;0;0.062;0.0022333333333333333;;201220;201221;801907;812075;201220;201200;201341;487677;1327490;201239
7;14;18000;18000;1154;0;16;0;0;0;16;0;0.0641111111111111;0.0022333333333333333;;208053;208055;1011106;1021269;208053;208054;208175;271571;1536790;208074
8;13;18000;18000;431;0;16;0;0;0;16;0;0.023944444444444445;0.0022333333333333333;;77919;77920;1227134;1237295;77919;77785;77921;184852;1667077;77790
9;12;18000;18000;126;0;16;0;0;0;16;0;0.007;0.0022333333333333333;;22867;22867;1313048;1323226;22867;22875;23011;184852;1733278;22880
10;11;18000;18000;1713;0;16;0;0;0;16;0;0.09516666666666666;0.0022333333333333333;;308794;308796;1343887;1354061;308794;308678;308796;185347;1447486;308719
11;10;18000;18000;446;0;16;0;0;0;16;0;0.024777777777777777;0.0022333333333333333;;80480;80480;1660660;1670832;80480;80488;80624;185347;1676211;80510
12;9;72000;72000;3913;0;4;0;0;0;4;0;0.05434722222222222;0.0005583333333333333;;705026;705028;1752218;1759285;705026;705028;705030;1764245;8862052;705029
13;8;72000;72000;1085;0;4;0;0;0;4;0;0.015069444444444444;0.0005583333333333333;;195644;195645;2465137;2472867;195644;195645;195646;2477895;8657784;195645
14;7;72000;72000;1093;0;4;0;0;0;4;0;0.015180555555555555;0.0005583333333333333;;197072;197191;2668654;2677065;197160;197073;197191;2682160;8452075;197160
15;6;72000;72000;728;0;4;0;0;0;4;0;0.01011111111111111;0.0005583333333333333;;131242;131246;2873739;2882826;131242;131250;131250;2887985;8312072;131250
16;5;72000;72000;10488;0;4;4;-2;0;4;6;0.14566666666666667;0.0005583333333333333;;3468280;3468600;3012876;3022618;3468361;3472733;5056237;3027850;3247460;4264429
17;4;72000;72000;1470;0;4;4;2;0;4;2;0.020416666666666666;0.0005583333333333333;;1843841;1844070;6489409;6499516;1843913;265054;1848265;2966991;6509973;1056654
18;3;72000;72000;6666;0;4;0;0;0;4;0;0.09258333333333334;0.0005583333333333333;;1200929;1200930;8341406;8352035;1200929;1200928;1200930;1758099;8366937;1200928
19;2;288000;288000;2301;0;1;1;1;0;1;0;0.007989583333333333;0.00013958333333333333;;1993267;1993267;9550227;9550227;1993267;414754;414754;24963059;24963059;414754
20;1;288000;288000;15637;0;1;2;-1;0;1;3;0.054295138888888886;0.00013958333333333333;;13785109;13785109;11551817;11551817;13785109;15389350;15389350;9565291;9565291;15389350
;;288000;;;;;11;;;;11;0.8709930555555556;0.02875416666666667;0.8997472222222223
;;;;;;;0.0;;;;;
