ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;12000;12000;296;0;45;0;0;0;45;0;0.024666666666666667;0.0016383333333333334;;54131;54166;6232;25428;54160;54079;55023;5231;231595;54520
2;19;12000;12000;265;0;45;0;0;0;45;0;0.022083333333333333;0.0016383333333333334;;48555;48560;63276;82370;48555;48465;48640;63059;214431;48528
3;18;12000;12000;816;0;45;0;0;0;45;0;0.068;0.0016383333333333334;;147871;147874;114720;133708;147871;147643;148625;5245;138107;148195
4;17;36000;36000;1318;0;15;0;-5;0;15;5;0.03661111111111111;0.0005461111111111111;;238243;238245;274992;284480;238243;238188;503853;277332;3300577;326719
5;16;36000;36000;1882;0;15;0;0;0;15;0;0.05227777777777778;0.0005461111111111111;;339868;339870;516229;525737;339868;339695;339814;518582;2957699;339794
6;15;36000;36000;3133;0;15;0;-5;0;15;5;0.08702777777777777;0.0005461111111111111;;565166;565170;859093;868619;565167;565110;830659;861456;2123981;653622
7;14;36000;36000;365;0;15;0;0;0;15;0;0.010138888888888888;0.0005461111111111111;;66696;66699;1427252;1436799;66696;66506;67309;1121295;2628777;66626
8;13;36000;36000;720;0;15;0;0;0;15;0;0.02;0.0005461111111111111;;130599;130601;1496940;1506507;130599;130544;130546;987688;2698347;130544
9;12;36000;36000;1165;0;15;0;0;0;15;0;0.03236111111111111;0.0005461111111111111;;210703;210705;1630545;1640121;210703;210648;210650;773978;2831959;210648
10;11;36000;36000;688;0;15;0;0;0;15;0;0.01911111111111111;0.0005461111111111111;;124703;124703;1844258;1853838;124703;124646;124783;646135;3045675;124752
11;10;36000;36000;1307;0;15;15;10;0;15;5;0.036305555555555556;0.0005461111111111111;;502190;503297;1971974;1980436;502431;236199;501744;406874;3173524;324688
12;9;36000;36000;698;0;15;0;0;0;15;0;0.01938888888888889;0.0005461111111111111;;126638;126641;2477179;2486767;126638;126582;126584;277249;3412792;126582
13;8;108000;108000;5180;0;5;0;-3;0;5;3;0.047962962962962964;0.00018203703703703703;;933860;933862;2609100;2616439;933860;933803;1211662;2619993;12955751;1100515
14;7;108000;108000;10332;0;5;5;3;0;5;2;0.09566666666666666;0.00018203703703703703;;2127185;2127252;3545796;3553834;2127211;1861757;2126920;3557382;11090402;1967821
15;6;108000;108000;4600;0;5;5;0;0;5;5;0.04259259259259259;0.00018203703703703703;;3435937;3436131;5675882;5684602;3435999;1094422;3437743;5687890;9992370;2031743
16;5;108000;108000;5991;0;5;0;-3;0;5;3;0.05547222222222222;0.00018203703703703703;;1079955;1079959;9114850;9124153;1079957;1079901;3688754;6291216;9129473;2645065
17;4;108000;108000;8905;0;5;5;3;0;5;2;0.08245370370370371;0.00018203703703703703;;1870212;1870287;10197642;10207648;1870232;1604668;1869945;4683637;10212967;1710776
18;3;108000;108000;10009;0;5;5;0;0;5;5;0.09267592592592593;0.00018203703703703703;;4410160;4410298;12070763;12081421;4410215;2068766;2081365;2611888;12086505;2073825
19;2;540000;540000;15814;0;1;2;0;0;1;2;0.029285185185185185;3.640740740740741e-05;;19609025;19609025;16483391;16483391;19609025;19616470;19616470;17648450;17648450;19616470
20;1;540000;540000;4934;0;1;1;0;0;1;1;0.009137037037037037;3.640740740740741e-05;;1154863;1154863;36095586;36095586;1154863;1154691;1154691;16490513;16490513;1154691
;;540000;;;;;38;;;;38;0.8832185185185186;0.010995037037037043;0.8942135555555557
;;;;;;;0.0;;;;;
