ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;14;10000;10000;81;0;100;0;0;0;100;0;0.0081;0.004019999999999999
2;13;11000;11000;646;0;91;0;0;0;91;0;0.058727272727272725;0.0036545454545454546
3;12;32000;32000;6160;0;32;34;0;0;32;34;0.1925;0.00125625
4;11;33000;33000;1709;0;31;7;1;0;31;6;0.051787878787878786;0.0012181818181818183
5;10;36000;36000;1635;0;28;6;0;0;28;6;0.04541666666666667;0.0011166666666666666
6;9;56000;56000;1631;0;18;6;-1;0;18;7;0.029125;0.0007178571428571428
7;8;63000;63000;1496;0;16;5;-2;0;16;7;0.023746031746031748;0.0006380952380952382
8;7;64000;64000;2005;0;16;7;0;0;16;7;0.031328125;0.000628125
9;6;68000;68000;4697;0;15;17;1;0;15;16;0.0690735294117647;0.0005911764705882353
10;5;73000;73000;16598;0;14;70;8;0;14;62;0.22736986301369863;0.0005506849315068494
11;4;78000;78000;1314;0;13;5;0;0;13;5;0.016846153846153848;0.0005153846153846154
12;3;83000;83000;635;0;13;0;-1;0;13;1;0.007650602409638554;0.00048433734939759034
13;2;90000;90000;5572;0;11;16;-1;0;11;17;0.06191111111111111;0.0004466666666666667
14;1;93000;93000;5581;1;11;31;10;0;11;21;0.06001075268817204;0.000432258064516129
;;1000000;;;;;204;;;;189;0.8835929874083889;0.016270229418406407;0.8998632168267953
;;;;;;;0.07352941176470588;;;;;
