ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;22000;22000;3430;0;46;0;0;0;46;0;0.1559090909090909;0.0018272727272727273
2;9;59000;59000;1813;0;17;0;-1;0;17;1;0.030728813559322034;0.0006813559322033898
3;8;63000;63000;10315;0;16;9;2;0;16;7;0.16373015873015873;0.0006380952380952382
4;7;65000;65000;3342;0;16;1;-1;0;16;2;0.05141538461538461;0.0006184615384615384
5;6;65000;65000;9991;0;16;12;1;0;16;11;0.1537076923076923;0.0006184615384615384
6;5;69000;69000;1019;0;15;3;1;0;15;2;0.014768115942028986;0.0005826086956521739
7;4;69000;69000;2543;0;15;4;1;0;15;3;0.03685507246376812;0.0005826086956521739
8;3;80000;80000;10985;0;13;16;4;0;13;12;0.1373125;0.0005024999999999999
9;2;81000;81000;11779;2;12;22;11;0;12;11;0.14541975308641975;0.0004962962962962963
10;1;84000;84000;256;2;12;0;0;0;12;0;0.0030476190476190477;0.00047857142857142857
;;1000000;;;;;67;;;;49;0.8928942006614844;0.007026232090666506;0.899920432752151
;;;;;;;0.26865671641791045;;;;;
