ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;15000;15000;619;0;67;0;0;0;67;0;0.04126666666666667;0.00268
2;9;34000;34000;844;0;30;0;0;0;30;0;0.024823529411764706;0.0011823529411764705
3;8;35000;35000;377;0;29;0;0;0;29;0;0.01077142857142857;0.0011485714285714285
4;7;39000;39000;253;0;26;0;0;0;26;0;0.006487179487179487;0.0010307692307692307
5;6;40000;40000;1248;0;25;0;0;0;25;0;0.0312;0.0010049999999999998
6;5;42000;42000;1871;0;24;0;0;0;24;0;0.044547619047619044;0.0009571428571428571
7;4;49000;49000;472;0;21;2;0;0;21;2;0.00963265306122449;0.0008204081632653061
8;3;50000;50000;4319;0;20;13;0;0;20;13;0.08638;0.000804
9;2;75000;75000;7813;0;14;21;-1;0;14;22;0.10417333333333334;0.000536
10;1;84000;84000;10918;0;12;24;1;0;12;23;0.12997619047619047;0.00047857142857142857
;;1000000;;;;;60;;;;60;0.4892586000554068;0.01064281604949672;0.4999014161049035
;;;;;;;0.0;;;;;
