ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;20;12000;12000;91;0;84;0;0;0;84;0;0.007583333333333333;0.0033499999999999997
2;19;20000;20000;99;0;50;0;0;0;50;0;0.00495;0.0020099999999999996
3;18;20000;20000;480;0;50;0;0;0;50;0;0.024;0.0020099999999999996
4;17;27000;27000;2379;0;37;4;-1;0;37;5;0.08811111111111111;0.001488888888888889
5;16;29000;29000;4221;0;35;20;3;0;35;17;0.14555172413793102;0.001386206896551724
6;15;39000;39000;4903;0;26;22;-1;0;26;23;0.12571794871794872;0.0010307692307692307
7;14;41000;41000;899;0;25;3;0;0;25;3;0.02192682926829268;0.0009804878048780487
8;13;44000;44000;627;0;23;1;-1;0;23;2;0.01425;0.0009136363636363636
9;12;45000;45000;1687;0;23;3;0;0;23;3;0.03748888888888889;0.0008933333333333334
10;11;46000;46000;6967;0;22;42;8;0;22;34;0.15145652173913043;0.0008739130434782608
11;10;49000;49000;3018;0;21;22;1;0;21;21;0.06159183673469388;0.0008204081632653061
12;9;52000;52000;444;0;20;5;0;0;20;5;0.008538461538461538;0.000773076923076923
13;8;60000;60000;1192;0;17;2;-2;0;17;4;0.019866666666666668;0.00067
14;7;64000;64000;73;0;16;0;0;0;16;0;0.001140625;0.000628125
15;6;66000;66000;2487;0;16;9;-3;0;16;12;0.037681818181818184;0.0006090909090909092
16;5;73000;73000;4958;1;14;29;4;0;14;25;0.06791780821917809;0.0005506849315068494
17;4;89000;89000;572;1;12;3;1;0;12;2;0.006426966292134831;0.00045168539325842697
18;3;96000;96000;1705;1;11;4;0;0;11;4;0.017760416666666667;0.00041874999999999996
19;2;99000;99000;2624;1;11;10;0;0;11;10;0.026505050505050504;0.0004060606060606061
20;1;100000;100000;1060;1;10;5;1;0;10;4;0.0106;0.000402
;;1000000;;;;;184;;;;174;0.8790660070013065;0.02066711748779487;0.8997331244891014
;;;;;;;0.05434782608695652;;;;;
