ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;25000;25000;297;0;24;0;0;0;24;0;0.01188;0.001608;;53660;53660;177735;192630;53660;53662;53798;175964;411075;53690
2;19;25000;25000;216;0;24;0;0;0;24;0;0.00864;0.001608;;39068;39072;239374;254161;39068;39076;39212;176487;418386;39082
3;18;25000;25000;62;0;24;0;0;0;24;0;0.00248;0.001608;;11358;11358;286435;300540;11358;11366;11501;176487;446074;11366
4;17;25000;25000;788;0;24;0;0;0;24;0;0.03152;0.001608;;142178;142180;305763;319202;142178;142045;142182;176459;316381;142124
5;16;50000;50000;3628;0;12;0;0;0;12;0;0.07256;0.000804;;653721;653724;456841;468690;653721;653720;653725;455524;472136;653720
6;15;150000;150000;14344;0;4;0;-3;0;4;3;0.09562666666666667;0.000268;;2583782;2583784;1126706;1129927;2583783;2583784;3532309;1127462;8535462;3129358
7;14;150000;150000;6780;0;4;4;3;0;4;1;0.0452;0.000268;;1506771;1506868;3718683;3721263;1506801;1221333;1506884;3719546;7306367;1292778
8;13;150000;150000;12161;0;4;0;-1;0;4;1;0.08107333333333333;0.000268;;2190609;2190612;5233719;5235744;2190610;2190610;3138972;5104576;8433503;2427700
9;12;150000;150000;2733;0;4;0;-2;0;4;2;0.01822;0.000268;;492511;492513;7432535;7433892;492512;492512;777975;4318428;11580859;635201
10;11;150000;150000;11071;0;4;4;2;0;4;2;0.07380666666666667;0.000268;;2942287;2942354;7933271;7933959;2942309;1994415;2942617;2315729;12081675;2302762
11;10;150000;150000;2061;0;4;0;0;0;4;0;0.01374;0.000268;;371439;371441;10883844;10883983;371439;371439;371441;1936005;14369623;371440
12;9;150000;150000;4442;0;4;0;0;0;4;0;0.029613333333333332;0.000268;;800360;800364;11262884;11263661;800362;800246;800365;1127439;14749350;800305
13;8;600000;600000;12245;0;1;1;1;0;1;0;0.020408333333333334;6.7e-05;;2490980;2490980;12070785;12070785;2490980;2205840;2205840;83112908;83112908;2205840
14;7;600000;600000;30059;0;1;1;-1;0;1;2;0.050098333333333335;6.7e-05;;6362482;6362482;14569750;14569750;6362482;6658685;6658685;76446516;76446516;6658685
15;6;600000;600000;58962;0;1;3;0;0;1;3;0.09827;6.7e-05;;23091534;23091534;20940221;20940221;23091534;23757968;23757968;52680419;52680419;23757968
16;5;600000;600000;114;0;1;0;0;0;1;0;0.00019;6.7e-05;;20708;20708;44039745;44039745;20708;20716;20716;52651687;52651687;20716
17;4;600000;600000;33709;0;1;2;1;0;1;1;0.056181666666666664;6.7e-05;;7305142;7305142;44068397;44068397;7305142;6357119;6357119;46286489;46286489;6357119
18;3;600000;600000;42302;0;1;2;-1;0;1;3;0.07050333333333333;6.7e-05;;19805395;19805395;51381526;51381526;19805395;20757626;20757626;25520764;25520764;20757626
19;2;600000;600000;19627;0;1;1;0;0;1;1;0.03271166666666667;6.7e-05;;4483445;4483445;71194947;71194947;4483445;3820733;3820733;21691931;21691931;3820733
20;1;600000;600000;46494;0;1;3;1;0;1;2;0.07749;6.7e-05;;20845655;20845655;75686382;75686382;20845655;9608375;9608375;12075476;12075476;9608375
;;600000;;;;;21;;;;21;0.8902133333333335;0.009647999999999997;0.8998613333333335
;;;;;;;0.0;;;;;
