ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;11000;11000;494;0;4200;0;0;0;4200;0;0.04490909090909091;0.0036545454545454546;;89120;89122;175552;199107;89120;89124;89126;173517;199851;89124
2;19;33000;33000;2238;0;1400;0;0;0;1400;0;0.06781818181818182;0.0012181818181818183;;403297;403303;273297;296762;403297;403297;403301;271292;297443;403297
3;18;44000;44000;3168;0;1050;0;0;0;1050;0;0.072;0.0009136363636363636;;570813;570934;274021;708034;570813;570813;570935;272120;926318;570813
4;17;44000;44000;1161;0;1050;0;0;0;1050;0;0.026386363636363635;0.0009136363636363636;;209311;209431;852855;1287015;209311;209312;209433;273059;1285612;209312
5;16;55000;55000;5934;0;840;91;-119;0;840;210;0.10789090909090909;0.0007309090909090909;;1068917;1171613;274019;1504354;1077355;1069044;1584087;272119;2312522;1128615
6;15;55000;55000;3869;0;840;250;-30;0;840;280;0.07034545454545454;0.0007309090909090909;;697083;1600368;1351191;2684141;805474;696987;804120;273060;1861261;731058
7;14;66000;66000;1863;0;700;0;0;0;700;0;0.028227272727272726;0.0006090909090909092;;335790;335792;687187;3389409;335790;335652;335794;685672;4315739;335780
8;13;66000;66000;2394;0;700;420;70;0;700;350;0.036272727272727276;0.0006090909090909092;;431381;2420768;1031232;3733450;671058;431381;536515;1029777;3774246;482395
9;12;66000;66000;2086;0;700;0;0;0;700;0;0.0316060606060606;0.0006090909090909092;;375927;375929;1470987;4275216;375927;375927;375931;1469613;3389811;375927
10;11;88000;88000;3114;0;525;0;0;0;525;0;0.03538636363636364;0.0004568181818181818;;561068;561211;1071074;4659397;561074;561067;561213;1069412;4659751;561067
11;10;110000;110000;11103;0;420;700;0;0;420;700;0.10093636363636363;0.00036545454545454544;;2102704;5263864;2057764;5229026;3463270;2102094;4695121;2056066;5229466;3320423
12;9;154000;154000;2543;0;300;85;0;0;300;85;0.016512987012987014;0.00026103896103896103;;458181;3814391;273309;7751889;609262;458168;3814029;271284;7751969;609156
13;8;231000;231000;2243;0;200;45;5;0;200;40;0.00970995670995671;0.00017402597402597401;;404198;5715776;685684;9118940;597268;404198;5715123;683772;9118880;574671
14;7;264000;264000;4942;0;175;141;-17;0;175;158;0.01871969696969697;0.0001522727272727273;;890231;6671833;3328374;9531910;2151687;890241;6671869;3327175;10624687;2174380
15;6;308000;308000;15267;0;150;385;20;0;150;365;0.04956818181818182;0.00013051948051948052;;3366277;12305363;1539104;14002641;7064978;3365479;12304778;1537602;14002566;6896402
16;5;330000;330000;9738;0;140;260;-25;0;140;285;0.02950909090909091;0.00012181818181818181;;1754239;11540524;7167379;18848348;4539693;1754123;8339195;7165676;18847553;4513600
17;4;385000;385000;23381;0;120;413;-8;0;120;421;0.06072987012987013;0.00010441558441558442;;4416209;22568144;2057653;27196753;11287131;4415180;17822463;2055970;27195693;10420691
18;3;550000;550000;18977;0;84;254;-2;0;84;256;0.03450363636363636;7.309090909090908e-05;;3520281;33364594;5482729;37524666;13100472;3519859;33363185;5480677;37520295;12694244
19;2;660000;660000;29994;0;70;309;5;0;70;304;0.045445454545454546;6.0909090909090906e-05;;11164448;57785027;13976368;46899855;27646022;11163271;39932571;13974581;46895480;23117059
20;1;770000;770000;1102;0;60;16;6;0;60;10;0.0014311688311688313;5.220779220779221e-05;;198703;38859382;16345467;93080003;1873979;198704;27295357;16341974;77003553;1662784
;;46200000;;;;;3369;;;;3464;0.887908831168831;0.011941662337662341;0.8998504935064934
;;;;;;;-0.028198278420896408;;;;;
