ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;20000;20000;1615;0;5672;0;-5142;5172;5670;5142;0.08075;0.0028315;;291028;299255;175820;197119;291028;290996;312173;173986;9693594;291023
2;19;28350;28350;521;0;4002;0;-3625;3625;4000;3625;0.018377425044091712;0.0019975308641975308;;93982;100324;4820;496682;93984;93982;105186;85565;11093920;93985
3;18;30240;30240;1770;0;3752;260;-3198;3454;3750;3458;0.05853174603174603;0.0018726851851851853;;318942;734251;10787;598797;336122;318923;627758;44446;11106310;318942
4;17;33750;33750;488;0;3362;20;-3065;3081;3360;3085;0.014459259259259259;0.001677925925925926;;88028;196104;40820;925889;88037;88032;420015;176919;11640932;88033
5;16;40000;40000;3893;0;2836;1170;-1403;2571;2835;2573;0.097325;0.00141575;;701306;1251455;475571;1022017;781679;701283;1040946;747052;12055579;701446
6;15;42000;42000;52;0;2701;0;-2470;2469;2700;2470;0.001238095238095238;0.0013483333333333333;;9556;9562;175820;1731632;9556;9560;16600;1693150;12972697;9560
7;14;47250;47250;5056;0;2401;1591;-681;2264;2400;2272;0.107005291005291;0.0011985185185185185;;910875;2472603;40830;1749405;1182275;910856;1227575;1737831;12997621;911858
8;13;50400;50400;198;0;2251;39;-1976;2013;2250;2015;0.003928571428571429;0.0011236111111111113;;35838;1055446;31834;2672427;41313;35842;345735;2656411;13519378;35842
9;12;56700;56700;6345;0;2001;2036;144;1874;2000;1892;0.11190476190476191;0.0009987654320987654;;1143027;3556747;116924;2716881;1552898;1143006;1465270;2700129;13501039;1146106
10;11;60000;60000;2291;0;1891;761;-845;1605;1890;1606;0.03818333333333333;0.0009438333333333334;;412823;3264879;475755;4169798;595329;412812;519659;4154752;14098178;412856
11;10;63000;63000;7915;0;1800;3024;1305;1700;1800;1719;0.12563492063492063;0.000898888888888889;;1425726;6304138;175824;4608654;2557963;1425714;1868982;4575460;13983758;1430379
12;9;64800;64800;3550;0;1750;1155;-457;1603;1750;1612;0.05478395061728395;0.0008739197530864197;;639569;6956771;31824;6567521;1362353;639556;1053849;5513597;15043140;641411
13;8;67500;67500;5571;0;1680;2614;1079;1522;1680;1535;0.08253333333333333;0.000838962962962963;;1003568;8661101;183013;7218162;2630225;1003557;1448317;5285695;14905239;1007079
14;7;72000;72000;271;5;1575;106;-1144;1245;1575;1250;0.003763888888888889;0.0007865277777777777;;48953;8421372;175824;10251743;126319;48983;386974;6579669;16270591;48999
15;6;75000;75000;2986;7;1512;1285;-25;1306;1512;1310;0.03981333333333333;0.0007550666666666667;;537916;9623854;175824;18708274;1692613;537915;850618;7143575;17669774;538899
16;5;78750;78750;158;15;1440;71;-920;991;1440;991;0.0020063492063492065;0.0007191111111111111;;28604;7199693;54038;19817310;77818;28634;36380;7354413;17763609;28634
17;4;81000;81000;3252;112;1400;1507;389;1111;1400;1118;0.04014814814814815;0.0006991358024691359;;585902;11994611;175824;19891544;2405198;585904;897195;7938794;17357475;587569
18;3;84000;84000;1368;127;1350;666;-348;1012;1350;1014;0.016285714285714285;0.0006741666666666667;;246552;20032256;194670;33746516;1467120;246554;556312;8484508;18483975;246935
19;2;84375;84375;1331;149;1344;634;-434;1067;1344;1068;0.015774814814814814;0.0006711703703703703;;239888;20588908;18334;40512409;1498788;239891;548998;8913076;19652818;240353
20;1;90720;90720;5850;1176;1175;2947;1864;1077;1250;1083;0.06448412698412699;0.0006242283950617284;;1053821;66369939;48974814;1274386757;17169413;1053792;1377263;9341911;18906419;1056216
;;113435189;;;;;19886;;;;40838;0.9769320634920635;0.022949632098765434;0.999881695590829
;;;;;;;-1.053605551644373;;;;;
