ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;18900;18900;233;0;6000;0;0;0;6000;0;0.012328042328042329;0.002126984126984127;;42132;42134;13551;195362;42132;42136;42138;11514;195610;42136
2;19;35000;35000;2631;0;3240;360;0;0;3240;360;0.07517142857142857;0.0011485714285714285;;474031;530021;175551;246048;479900;474032;529748;173514;246176;479845
3;18;42000;42000;266;0;2700;0;0;0;2700;0;0.006333333333333333;0.0009571428571428571;;48078;48221;175551;728196;48078;48082;52564;173514;728406;48082
4;17;45000;45000;8;0;2520;0;0;0;2520;0;0.00017777777777777779;0.0008933333333333334;;1634;1640;175551;784317;1634;1642;1644;173514;784603;1642
5;16;47250;47250;1080;0;2400;0;0;0;2400;0;0.022857142857142857;0.0008507936507936508;;194740;199582;40551;794023;194741;194741;199407;38514;794403;194741
6;15;67500;67500;3042;0;1680;480;0;0;1680;480;0.045066666666666665;0.0005955555555555556;;548132;1041148;85551;996908;595053;548134;1040809;83514;997374;594934
7;14;87500;87500;2041;0;1296;216;-48;0;1296;264;0.023325714285714286;0.00045942857142857146;;367815;627273;85551;1553239;384177;367813;626695;83515;1553791;386303
8;13;90000;90000;3876;0;1260;539;84;0;1260;455;0.04306666666666667;0.0004466666666666667;;698245;1836983;186001;1929385;771384;698245;1399013;184007;1930063;754613
9;12;101250;101250;1800;0;1120;188;0;0;1120;188;0.017777777777777778;0.000397037037037037;;324331;914126;40555;2636131;336022;324330;913397;38518;2636899;335970
10;11;131250;131250;4743;0;864;440;-15;0;864;455;0.036137142857142854;0.00030628571428571423;;854410;3285287;40555;2969115;1003796;854422;3284782;38518;2969970;1004610
11;10;135000;135000;4023;0;840;448;27;0;840;421;0.0298;0.0002977777777777778;;724830;2025707;743353;3887288;872291;724831;1852540;741425;3887808;846296
12;9;162000;162000;882;0;700;16;-10;0;700;26;0.0054444444444444445;0.00024814814814814816;;158952;1027074;175555;4620784;164761;158960;1026656;173518;6426530;167958
13;8;168000;168000;171;0;675;2;-1;0;675;3;0.0010178571428571428;0.00023928571428571429;;30976;289829;232394;4776972;31602;30980;2435787;230400;7467026;35183
14;7;168750;168750;8678;0;672;840;1;0;672;839;0.051425185185185185;0.00023822222222222222;;1563194;3211857;40565;4815890;1916115;1563196;3210832;38537;5000354;1919199
15;6;175000;175000;10959;0;648;1046;89;0;648;957;0.06262285714285715;0.00022971428571428573;;1974017;5206083;1035512;6387227;2673700;1974016;4927551;1033600;6384564;2461257
16;5;180000;180000;5763;0;630;568;31;0;630;537;0.032016666666666665;0.00022333333333333336;;1038127;7583064;893778;9195796;1572501;1038118;3034075;891848;9191062;1319055
17;4;181440;181440;11705;0;625;1282;13;0;625;1269;0.06451168430335097;0.00022156084656084656;;2108414;11944088;9955;10242033;3629391;2108415;8414846;7918;10237389;3244607
18;3;200000;200000;957;0;567;82;-2;0;567;84;0.004785;0.000201;;172450;3244146;175555;13462596;212347;172454;2241816;173518;13456860;203913
19;2;472500;472500;72294;0;240;3462;0;0;240;3462;0.1530031746031746;8.507936507936507e-05;;19082158;30642958;897383;13643415;27329823;19075266;30631050;895587;13637774;27320883
20;1;810000;810000;2271;0;140;63;0;0;140;63;0.0028037037037037037;4.9629629629629625e-05;;409230;10545678;2743553;42935497;814696;409230;10543134;2741881;42919863;810956
;;113400000;;;;;10032;;;;9863;0.689672266313933;0.010215550264550266;0.6998878165784832
;;;;;;;0.01684609250398724;;;;;
