ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;40000;40000;194;0;2835;0;0;0;2835;0;0.00485;0.0010049999999999998;;35111;35113;175557;193385;35111;35115;35117;173531;193628;35115
2;19;52500;52500;4695;0;2160;135;0;0;2160;135;0.08942857142857143;0.0007657142857142857;;845783;899250;85557;236810;849594;845785;898768;83531;237189;849548
3;18;56700;56700;530;0;2000;15;-1;0;2000;16;0.009347442680776015;0.000708994708994709;;95593;144009;13557;1090692;95599;95597;143593;11531;1561290;95605
4;17;64800;64800;9890;0;1750;916;215;0;1750;701;0.15262345679012346;0.0006203703703703703;;1781472;2804042;31557;1194369;1965695;1781474;2700975;29531;1194922;1950419
5;16;70875;70875;6890;0;1600;619;112;0;1600;507;0.09721340388007055;0.0005671957671957671;;1241097;4058803;18057;2986077;1543313;1241115;3950714;16031;2984823;1446660
6;15;75600;75600;250;0;1500;5;-4;0;1500;9;0.0033068783068783067;0.0005317460317460317;;45188;93708;31557;4239959;45188;45192;94012;29531;4238449;45196
7;14;78750;78750;7008;0;1440;831;263;0;1440;568;0.08899047619047619;0.0005104761904761905;;1262475;4468677;40557;4290974;1596799;1262464;3218284;38532;4291986;1477192
8;13;81000;81000;2034;0;1400;237;86;0;1400;151;0.025111111111111112;0.0004962962962962963;;366566;3916876;175561;5562316;457025;366555;1381949;173535;5563150;397421
9;12;100800;100800;6197;0;1125;749;-1;0;1125;750;0.061478174603174604;0.00039880952380952383;;1116380;6842631;31561;5937597;1785738;1116367;6467013;29535;6681187;1773707
10;11;118125;118125;5827;0;960;690;22;0;960;668;0.04932910052910053;0.0003403174603174603;;1049644;6249513;18061;7062431;1566834;1049644;6248727;16035;7063534;1584568
11;10;126000;126000;1912;0;900;161;-4;0;900;165;0.015174603174603174;0.0003190476190476191;;344488;4112148;175561;8174001;528016;344474;4824685;173535;9322936;519647
12;9;131250;131250;13693;0;864;1543;166;0;864;1377;0.10432761904761904;0.00030628571428571423;;2466476;10836471;40561;8509073;4713375;2466463;9422073;38535;8506157;4197247
13;8;140000;140000;1589;0;810;151;23;0;810;128;0.01135;0.0002871428571428571;;286335;8341386;175561;16775804;510103;286335;5043623;173535;13751326;431752
14;7;141750;141750;6765;0;800;793;152;0;800;641;0.047724867724867726;0.00028359788359788357;;1218606;11467300;1290795;17070583;2821054;1218607;6869996;1288900;14045709;2081976
15;6;150000;150000;1723;0;756;145;-1;0;756;146;0.011486666666666666;0.000268;;310470;9788718;175561;20271191;659497;310457;9504339;173535;16578955;601914
16;5;168000;168000;251;0;675;25;8;0;675;17;0.001494047619047619;0.00023928571428571429;;45362;7471519;175561;20717143;81757;45379;6668838;173535;18602648;71060
17;4;180000;180000;1694;0;630;127;3;0;630;124;0.009411111111111111;0.00022333333333333336;;305251;10587401;175561;20771125;729308;305240;11092321;173535;18656182;723626
18;3;181440;181440;5538;1;625;614;39;0;625;575;0.030522486772486774;0.00022156084656084656;;997626;16710204;17161;21086545;3236137;997624;14587446;15135;18969751;2992720
19;2;196875;196875;1208;1;576;113;9;0;576;104;0.006135873015873016;0.0002041904761904762;;217756;8958996;18061;35033030;527249;217757;7973723;16035;20943451;498341
20;1;506250;506250;36553;0;224;1807;-1;0;224;1808;0.07220345679012345;7.94074074074074e-05;;14890423;49734565;40561;40571714;35332833;14885788;49724728;38535;40574884;35276198
;;113400000;;;;;9676;;;;8590;0.8915093474426807;0.008376772486772486;0.8998861199294532
;;;;;;;0.11223646134766432;;;;;
