ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;10000;10000;452;0;11340;0;0;0;11340;0;0.0452;0.004019999999999999;;81555;81557;175571;196995;81555;81559;81561;173505;197686;81559
2;19;18900;18900;1100;0;6000;600;0;0;6000;600;0.0582010582010582;0.002126984126984127;;198327;295421;13571;287105;206500;198328;295547;11511;287677;206459
3;18;28350;28350;245;0;4000;0;0;0;4000;0;0.008641975308641974;0.001417989417989418;;44287;44430;4571;493410;44287;44295;44432;4786;494065;44295
4;17;30240;30240;788;0;3750;90;0;0;3750;90;0.026058201058201058;0.0013293650793650795;;142037;238263;9981;545868;142037;142041;237804;7930;546612;142045
5;16;37800;37800;1196;0;3000;270;0;0;3000;270;0.03164021164021164;0.0010634920634920635;;215598;315824;238848;695987;223686;215597;315399;236837;696825;223637
6;15;45360;45360;325;0;2500;130;0;0;2500;130;0.007164902998236331;0.0008862433862433862;;58703;155662;9971;919907;63183;58711;155748;7911;920793;63157
7;14;50400;50400;766;0;2250;90;0;0;2250;90;0.015198412698412699;0.0007976190476190477;;138080;234296;31571;986826;141486;138080;233799;29512;1045963;141471
8;13;52500;52500;2911;0;2160;966;114;0;2160;852;0.055447619047619044;0.0007657142857142857;;524436;1483167;85575;1133291;608506;524438;1331264;83515;1134334;599816
9;12;60000;60000;604;0;1890;252;7;0;1890;245;0.010066666666666666;0.00067;;108921;667242;265852;1666154;143682;108925;667188;263806;1867604;142983
10;11;64800;64800;1986;0;1750;610;-22;0;1750;632;0.030648148148148147;0.0006203703703703703;;357938;1270524;31575;1783439;417373;357803;1269524;29515;2154258;418500
11;10;70875;70875;1655;0;1600;370;-47;0;1600;417;0.023350970017636686;0.0005671957671957671;;298218;675337;18075;2244408;325043;298238;1245498;16015;2907981;336766
12;9;75000;75000;7900;0;1512;3220;158;0;1512;3062;0.10533333333333333;0.000536;;1423149;3898796;175575;2551299;1990328;1423035;3377052;173515;2552192;1925146
13;8;101250;101250;13765;0;1120;4702;62;0;1120;4640;0.1359506172839506;0.000397037037037037;;2573971;6739884;40575;4288750;4114446;2573526;6736365;38515;5557938;4045824
14;7;108000;108000;16323;0;1050;5496;277;0;1050;5219;0.15113888888888888;0.00037222222222222225;;3245951;10966908;175575;7619984;6108495;3245070;7527817;173515;7617083;4939484
15;6;129600;129600;4968;0;875;1397;63;0;875;1334;0.03833333333333333;0.00031018518518518515;;894935;12654425;399649;12421064;2076550;894913;7329056;432891;12049627;1756502
16;5;162000;162000;7875;0;700;1817;-13;0;700;1830;0.04861111111111111;0.00024814814814814816;;1418543;13440126;175575;15740546;3193449;1418527;8942493;173515;15716521;2934298
17;4;168750;168750;2258;0;672;531;3;0;672;528;0.01338074074074074;0.00023822222222222222;;406893;11553120;40575;17693427;1006118;406880;8720783;38515;17668030;937271
18;3;200000;200000;5822;0;567;1165;46;0;567;1119;0.02911;0.000201;;1048757;17422529;265820;18091848;3688436;1048765;16019091;263751;18083194;3256758
19;2;787500;787500;13386;0;144;695;-21;0;144;716;0.01699809523809524;5.104761904761905e-05;;2506314;34919666;619330;33980526;12289045;2505676;36756133;617336;46891953;14243273
20;1;810000;810000;26472;0;140;1468;11;0;140;1457;0.03268148148148148;4.9629629629629625e-05;;13803331;59168064;4795975;51814901;34068173;13641992;42127726;4792064;51788768;29574063
;;113400000;;;;;23869;;;;23231;0.8831557671957673;0.016668465608465608;0.8998242328042328
;;;;;;;0.026729230382504503;;;;;
