ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;11000;11000;461;0;91;0;0;0;91;0;0.04190909090909091;0.0036545454545454546;;83189;83189;175552;192631;83189;83191;83193;173517;190829;83191
2;19;12000;12000;807;0;84;0;0;0;84;0;0.06725;0.0033499999999999997;;145460;150221;176216;283692;145509;145462;151898;174241;313341;145895
3;18;12000;12000;133;0;84;7;7;0;84;0;0.011083333333333334;0.0033499999999999997;;24142;122024;329882;436620;32671;24150;29564;174717;424026;24614
4;17;14000;14000;445;0;72;0;0;0;72;0;0.031785714285714285;0.002871428571428571;;80293;80435;176206;468064;80295;80301;84863;174222;653486;80420
5;16;14000;14000;996;0;72;8;2;0;72;6;0.07114285714285715;0.002871428571428571;;179612;469433;264821;555919;193730;179612;282737;174717;466358;188383
6;15;17000;17000;1345;0;59;14;0;0;59;14;0.07911764705882353;0.002364705882352941;;242443;808931;175552;742953;296485;242443;808267;173517;741436;296476
7;14;18000;18000;115;0;56;0;0;0;56;0;0.006388888888888889;0.0022333333333333333;;20895;21037;175562;999996;20895;20903;21040;173509;991530;20903
8;13;20000;20000;483;0;50;5;2;0;50;3;0.02415;0.0020099999999999996;;87127;349118;175556;1021430;98880;87135;348812;173521;1020108;97668
9;12;23000;23000;1798;0;44;23;1;0;44;22;0.07817391304347826;0.0017478260869565217;;323974;955646;175566;1116364;434127;323977;955420;173540;1115134;431778
10;11;32000;32000;532;0;32;3;0;0;32;3;0.016625;0.00125625;;95950;468154;175835;1448180;108710;95958;467303;174029;2079439;108676
11;10;46000;46000;3624;0;22;37;2;0;22;35;0.07878260869565218;0.0008739130434782608;;652881;1428623;509101;1551906;1027520;652872;1427600;507110;3459224;1006049
12;9;55000;55000;663;0;19;8;0;0;19;8;0.012054545454545455;0.0007309090909090909;;119529;1687398;268573;2309163;282983;119537;1687629;266690;3804283;294003
13;8;55000;55000;362;0;19;4;1;0;19;3;0.006581818181818182;0.0007309090909090909;;65350;1745910;397157;2628689;195622;65354;1744937;267173;3932644;180285
14;7;56000;56000;2626;0;18;18;-2;0;18;20;0.046892857142857146;0.0007178571428571428;;473134;1151772;453863;2984190;737411;473134;2519365;452080;3826940;889526
15;6;67000;67000;1312;0;15;4;-2;0;15;6;0.019582089552238807;0.0006000000000000001;;236493;1679839;175556;3755095;419042;236492;1678798;173521;3752803;388470
16;5;68000;68000;4852;0;15;33;2;0;15;31;0.07135294117647059;0.0005911764705882353;;874159;4184779;428060;4100282;2081187;874159;4184026;425950;4179840;1981773
17;4;69000;69000;202;0;15;2;1;0;15;1;0.002927536231884058;0.0005826086956521739;;36552;137218;702635;5890186;43298;36556;228236;699969;5886137;49381
18;3;84000;84000;1901;0;12;12;-1;0;12;13;0.02263095238095238;0.00047857142857142857;;342641;919320;641506;6044472;501333;342642;2372373;640044;6039929;667232
19;2;86000;86000;10311;0;12;72;3;0;12;69;0.1198953488372093;0.00046744186046511623;;3682262;8326833;175566;6969370;6103760;3253099;7877749;173540;6963952;5095200
20;1;87000;87000;5160;1;12;38;3;0;12;35;0.05931034482758621;0.00046206896551724135;;1026114;8728204;3834310;14830892;3814152;1025668;4014202;3829556;10225317;2126851
;;1000000;;;;;288;;;;269;0.8676374871434006;0.03194497368899317;0.8995824608323938
;;;;;;;0.06597222222222222;;;;;
