ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;24000;24000;1317;0;4200;0;0;0;4200;0;0.054875;0.0008191666666666667;;238027;239068;5357;30137;238078;237962;238942;4392;49258;237962
2;19;24000;24000;76;0;4200;0;0;0;4200;0;0.0031666666666666666;0.0008191666666666667;;14538;14543;246317;271715;14538;14448;15430;4392;268453;14448
3;18;120000;120000;307;0;840;0;0;0;840;0;0.0025583333333333335;0.00016383333333333335;;56125;56125;264447;289152;56125;56068;56068;264189;303499;56068
4;17;144000;144000;10094;0;700;0;-350;0;700;350;0.07009722222222223;0.0001365277777777778;;1818963;1819094;265389;348235;1818970;1818916;2085034;265182;2608595;1950656
5;16;144000;144000;12522;0;700;700;350;0;700;350;0.08695833333333333;0.0001365277777777778;;2519854;2581742;2087356;2170339;2532023;2256304;2522021;268778;2157844;2387965
6;15;192000;192000;1104;0;525;0;0;0;525;0;0.00575;0.00010239583333333334;;199721;202011;264447;4693828;199721;199665;201913;264189;4694501;199665
7;14;240000;240000;1702;0;420;0;0;0;420;0;0.007091666666666666;8.191666666666667e-05;;307365;310329;325280;4896674;307483;307309;309892;324791;4897398;307427
8;13;288000;288000;15079;0;350;0;-35;0;350;35;0.05235763888888889;6.82638888888889e-05;;2716853;2716975;4614330;5207215;2716853;2716796;2982915;4613913;6094912;2743138
9;12;288000;288000;956;0;350;0;0;0;350;0;0.0033194444444444443;6.82638888888889e-05;;172949;176127;7334416;7927424;173082;173026;173029;5530038;7718764;173026
10;11;288000;288000;3922;0;350;35;35;0;350;0;0.013618055555555555;6.82638888888889e-05;;707184;974692;7510734;8100436;733688;707128;707249;4819504;7895080;707199
11;10;336000;336000;21867;0;300;150;-54;0;300;204;0.06508035714285715;5.851190476190477e-05;;3939515;4840569;265516;9078427;4089233;3939459;8549824;265221;10837612;4203980
12;9;336000;336000;9740;0;300;195;35;0;300;160;0.028988095238095236;5.851190476190477e-05;;1755139;2598919;4208537;13285507;1960825;1755082;2598965;266307;11188259;1938212
13;8;360000;360000;18364;0;280;90;-80;0;280;170;0.05101111111111111;5.461111111111111e-05;;3308516;10006958;325842;15044228;3514504;3308461;3779670;325606;18277111;3497789
14;7;360000;360000;16461;0;280;255;95;0;280;160;0.045725;5.461111111111111e-05;;2965731;14012956;3638042;18619968;3963241;2965675;3436774;3637801;15044336;3138431
15;6;576000;576000;62850;0;175;585;21;0;175;564;0.10911458333333333;3.413194444444445e-05;;12113667;29879661;8426818;21589290;18924188;12112093;29878243;8426415;23669489;20734124
16;5;600000;600000;17045;0;168;110;-33;0;168;143;0.028408333333333334;3.276666666666667e-05;;3070976;34834373;324753;38316214;4091409;3070920;24972013;324469;53242069;4971810
17;4;672000;672000;40330;0;150;303;-23;0;150;326;0.06001488095238095;2.9255952380952385e-05;;7528501;43004567;6232701;41655807;11620710;7528271;23463963;6232021;47025076;11654225
18;3;720000;720000;19581;0;140;156;15;0;140;141;0.027195833333333332;2.7305555555555556e-05;;3527813;32395220;11533319;49824964;6955989;3527639;18185850;15366093;49803541;6063860
19;2;960000;960000;159219;0;105;937;13;0;105;924;0.165853125;2.047916666666667e-05;;39012215;118141548;841439;74880436;92701951;39009685;106009838;842115;77362487;67762497
20;1;960000;960000;13864;6;105;94;10;0;105;84;0.014441666666666667;2.047916666666667e-05;;2497930;112891687;42766537;171392071;13145671;2497991;24400825;842106;118615326;4660355
;;100800000;;;;;3610;;;;3611;0.8956253472222222;0.0028549908730158735;0.8984803380952381
;;;;;;;-0.0002770083102493075;;;;;
