ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;40000;40000;2536;0;2520;0;0;0;2520;0;0.0634;0.0010049999999999998;;456929;456938;175551;197493;456929;456930;456936;173514;197689;456930
2;19;60000;60000;1964;0;1680;0;0;0;1680;0;0.032733333333333337;0.00067;;353860;353986;175551;662976;353860;353862;353984;173514;663069;353862
3;18;80000;80000;2473;0;1260;0;0;0;1260;0;0.0309125;0.0005024999999999999;;445710;445713;641096;1024931;445710;445710;445714;639096;1025106;445710
4;17;100000;100000;1084;0;1008;0;0;0;1008;0;0.01084;0.000402;;195454;195458;175551;1478690;195454;195457;195461;173514;1478973;195457
5;16;140000;140000;880;0;720;0;0;0;720;0;0.006285714285714286;0.0002871428571428571;;158595;158738;175551;1682252;158595;158603;158740;173514;1682622;158603
6;15;160000;160000;12930;0;630;72;24;0;630;48;0.0808125;0.00025124999999999995;;2329139;2706323;1095743;1849148;2354525;2329140;2695590;1093796;1849585;2346528
7;14;200000;200000;4091;0;504;42;0;0;504;42;0.020455;0.000201;;737070;1272465;845547;4186507;767205;737071;1272237;843629;4187053;767167
8;13;240000;240000;5270;0;420;0;0;0;420;0;0.021958333333333333;0.0001675;;949398;949403;1459438;4931910;949398;949399;949520;1457310;4932524;949399
9;12;280000;280000;6774;0;360;36;-7;0;360;43;0.024192857142857144;0.00014357142857142856;;1220242;1792407;809014;5889677;1255061;1220242;2510627;807121;9016433;1262079
10;11;320000;320000;34443;0;315;543;8;0;315;535;0.107634375;0.00012562499999999998;;6673837;9390861;3434425;7116014;7463634;6673430;8164028;3432651;10679534;7286304
11;10;360000;360000;2367;0;280;9;-4;0;280;13;0.006575;0.00011166666666666668;;426519;1351033;1003958;14163238;443975;426499;3689932;1002020;16654898;468611
12;9;420000;420000;22738;0;240;238;2;0;240;236;0.054138095238095235;9.571428571428571e-05;;4095762;15793732;705963;15521088;5892834;4095647;15359339;704023;17703901;5876839
13;8;480000;480000;31560;0;210;334;30;0;210;304;0.06575;8.375e-05;;5684657;12669847;4756676;19827114;7277815;5684658;9791338;4755647;33316359;7054891
14;7;560000;560000;32058;0;180;299;-9;0;180;308;0.05724642857142857;7.178571428571428e-05;;6141543;18011214;2493524;26536637;8196934;5774417;19894339;2491994;34353519;9150616
15;6;600000;600000;25484;0;168;188;-31;0;168;219;0.042473333333333335;6.7e-05;;4590272;15854325;1954977;35949507;6647473;4590274;15956223;1953351;38980324;6698224
16;5;700000;700000;30496;0;144;213;-11;0;144;224;0.043565714285714284;5.742857142857143e-05;;5962907;38680033;547539;41971787;11373631;5493019;31472502;545646;56965382;11455312
17;4;720000;720000;20600;0;140;139;-32;0;140;171;0.02861111111111111;5.583333333333334e-05;;3710558;36639044;2854440;49719817;6598496;3710567;21520557;3220982;67942598;6656052
18;3;800000;800000;39738;0;126;251;-4;0;126;255;0.0496725;5.025e-05;;7627532;44270469;4385275;55878073;14695102;7627127;33082473;4383937;64726597;12792279
19;2;900000;900000;4461;0;112;29;0;0;112;29;0.0049566666666666665;4.4666666666666664e-05;;803651;20753497;742757;75647304;2090097;803640;21497201;740830;89128482;1740721
20;1;960000;960000;137564;1;105;897;58;0;105;839;0.14329583333333334;4.1875e-05;;45201385;120996229;18630788;81569298;90090697;35349794;75371388;18628418;81562283;54352112
;;100800000;;;;;3290;;;;3266;0.8955092956349209;0.004435559523809522;0.8999448551587304
;;;;;;;0.00729483282674772;;;;;
