ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;20000;20000;961;0;5670;0;-4818;4817;5669;4818;0.04805;0.0009830000000000001;;173825;179012;3683;25292;173879;173755;193188;3640;10327513;173889
2;19;22500;22500;1415;0;5040;0;-4562;4560;5039;4562;0.06288888888888888;0.0008737777777777778;;255698;265651;3699;202055;255730;255608;274645;3640;10518353;255647
3;18;25200;25200;1377;0;4500;540;-3451;3976;4499;3991;0.054642857142857146;0.0007801587301587302;;248851;514498;5255;460109;276316;248757;514463;4835;10752102;248796
4;17;30240;30240;474;0;3750;0;-3258;3251;3749;3258;0.015674603174603174;0.0006501322751322751;;86181;95645;11790;711916;86181;86086;356754;28753;11569605;86123
5;16;37800;37800;317;0;3000;30;-2549;2577;2999;2579;0.008386243386243386;0.0005201058201058201;;57927;241206;5448;801243;59302;57832;323333;366860;12910655;57858
6;15;39375;39375;858;0;2880;90;-2420;2503;2879;2510;0.02179047619047619;0.0004993015873015873;;155333;337740;27142;862299;161260;155208;675980;139927;13035283;155364
7;14;45360;45360;1622;0;2500;440;-1749;2181;2499;2189;0.03575837742504409;0.0004334215167548501;;292949;899281;11459;1020917;334957;292856;562958;219831;13815776;293293
8;13;50000;50000;1658;0;2268;326;-1672;1991;2267;1998;0.03316;0.0003932;;299443;1274025;3607;1317220;345891;299350;838262;1275094;14349200;299948
9;12;56700;56700;873;0;2000;138;-1550;1684;1999;1688;0.015396825396825397;0.0003467372134038801;;158006;904150;22649;1619955;175445;157911;607307;1611999;15391653;158097
10;11;60480;60480;1797;0;1875;490;-1113;1596;1874;1603;0.029712301587301586;0.00032506613756613757;;324450;1398268;102024;1776249;398801;324356;769780;1772769;15907123;325349
11;10;63000;63000;1250;0;1800;286;-1254;1536;1799;1540;0.01984126984126984;0.00031206349206349207;;226003;1699189;4649;2103485;270968;225909;660170;2100024;16517011;226515
12;9;67500;67500;14202;0;1680;5714;4069;1599;1679;1645;0.2104;0.0002912592592592593;;2652786;5188177;264263;2340436;3719817;2558817;3427194;2328770;14895198;2567687
13;8;70875;70875;302;0;1600;78;-1186;1262;1599;1264;0.004261022927689594;0.0002773897707231041;;55224;3715990;27166;5698465;81391;55129;318561;4872634;17296767;55161
14;7;75000;75000;6885;0;1512;2676;1238;1416;1511;1438;0.0918;0.0002621333333333334;;1240877;6919347;3957;5747026;2232354;1240820;2020497;4756092;16709492;1244943
15;6;75600;75600;5148;0;1500;1823;583;1226;1499;1240;0.0680952380952381;0.0002600529100529101;;928112;7599377;355808;7176900;1938921;928018;1380048;6140380;16660206;931119
16;5;78750;78750;816;0;1440;267;-827;1088;1440;1094;0.010361904761904761;0.00024965079365079365;;147738;5510868;209094;8908808;229508;147643;424703;6597675;18117684;148382
17;4;84375;84375;8026;0;1344;3217;2037;1148;1344;1180;0.09512296296296296;0.00023300740740740743;;1446505;10624418;49666;9617676;3551825;1446415;2286814;5186358;18290069;1454439
18;3;87500;87500;11781;622;1296;5541;4304;1188;1296;1237;0.13464;0.0002246857142857143;;2122788;23957437;4584;19275893;11391709;2122687;2981836;7017304;18893774;2135647
19;2;90720;90720;2121;1245;1245;1289;310;970;1250;979;0.02337962962962963;0.00021671075837742504;;382819;120058485;35332031;226611017;16295598;382799;1083739;8767754;20574393;385383
20;1;94500;94500;365;0;0;0;-761;757;1200;761;0.0038624338624338624;0.00020804232804232805;;9223372036854775807;-9223372036854775808;9223372036854775807;-9223372036854775808;0;66468;331387;9040560;21007029;67159
;;113400000;;;;;22945;;;;41574;0.9872250352733686;0.008339896825396827;0.9955649320987654
;;;;;;;-0.8118980169971671;;;;;
