ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;15750;15750;719;0;7200;0;-6211;6251;7199;6211;0.04565079365079365;0.003595555555555556;;129614;129616;40821;193435;129614;129584;139118;38989;8405591;129616
2;19;18900;18900;2032;0;6000;0;-5338;5336;5999;5338;0.10751322751322752;0.0029962962962962964;;366217;376595;13821;331587;366218;366198;381111;12049;8597557;366221
3;18;26250;26250;2151;0;4320;496;-3416;3903;4319;3912;0.08194285714285714;0.002157333333333333;;387637;776320;40821;705782;429982;387606;919141;39049;9524132;387641
4;17;28350;28350;105;0;4000;0;-3306;3301;3999;3306;0.003703703703703704;0.0019975308641975308;;19093;24376;4823;1101589;19093;19097;161579;151365;9874066;19097
5;16;30240;30240;2509;0;3750;970;-2435;3388;3749;3405;0.08296957671957672;0.0018726851851851853;;452061;1405989;10222;1128781;517189;452048;852476;23878;9753107;452881
6;15;42000;42000;362;0;2700;20;-2306;2322;2699;2326;0.008619047619047618;0.0013483333333333333;;65350;208221;175821;1588994;65567;65354;584595;1166364;11795271;65354
7;14;45000;45000;2376;0;2520;1080;-1217;2278;2519;2297;0.0528;0.0012584444444444444;;428121;1849599;175821;1662754;587085;428112;1702813;1266509;11988447;430399
8;13;45360;45360;1094;0;2500;410;-1667;2072;2499;2077;0.024118165784832453;0.001248456790123457;;197237;1426056;10227;2099212;252632;197237;600582;2090649;11756258;197657
9;12;50400;50400;2602;0;2250;636;-1333;1954;2249;1969;0.051626984126984125;0.0011236111111111113;;468806;1525901;31827;2311345;552027;468793;1387834;2295666;12185213;470844
10;11;52500;52500;640;0;2160;462;-1330;1788;2159;1792;0.01219047619047619;0.0010786666666666666;;115398;935349;482626;2786566;157616;115377;496828;2772414;13226818;115405
11;10;54000;54000;1406;0;2100;454;-1395;1838;2099;1849;0.026037037037037036;0.0010487037037037038;;253400;1433328;175825;3053519;327034;253388;1668961;2823989;13336093;255253
12;9;56250;56250;1505;0;2016;757;-1081;1828;2015;1838;0.026755555555555557;0.0010067555555555556;;271233;2424573;40825;3314038;413115;271221;817812;3299545;13732614;272335
13;8;60480;60480;2348;0;1875;1373;-115;1477;1874;1488;0.03882275132275132;0.0009363425925925927;;423093;3260087;472088;3984438;742970;423080;977379;3957753;13911323;424991
14;7;64800;64800;6592;0;1750;3936;2321;1578;1749;1615;0.1017283950617284;0.0008739197530864197;;1187481;5846730;31825;4411327;2426590;1187461;2583403;4388876;14372131;1195411
15;6;75000;75000;8960;1;1512;4988;3521;1431;1511;1467;0.11946666666666667;0.0007550666666666667;;1613957;8685714;175825;6640217;4218386;1613937;2572863;6030323;16014055;1623083
16;5;78750;78750;1696;2;1440;953;-151;1097;1440;1104;0.021536507936507937;0.0007191111111111111;;305594;7880043;576162;16356852;916100;305596;829905;8182834;16520716;307264
17;4;81000;81000;911;4;1400;465;-580;1042;1400;1045;0.011246913580246914;0.0006991358024691359;;164171;9091086;175825;19886577;515408;164175;948201;8524411;17789750;165134
18;3;87500;87500;5383;23;1296;3013;1882;1109;1296;1131;0.06152;0.0006472;;969741;15584748;85825;21082184;4090399;969727;1965294;9142853;18783239;976834
19;2;94500;94500;4766;185;1200;2736;1819;910;1200;917;0.050433862433862435;0.0005992592592592592;;858548;22103832;599442;26941488;6181426;858549;1874985;10005674;19370746;861364
20;1;100000;100000;4459;1022;1021;2407;1470;920;1134;937;0.04459;0.0005663;;803287;80280376;63012191;2088863848;19728762;803282;1590072;10600451;20801953;809001
;;113400000;;;;;25156;;;;46024;0.9732725220458553;0.026528708024691355;0.9998012300705467
;;;;;;;-0.8295436476387343;;;;;
