ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;10000;10000;497;0;11343;0;-8795;9124;11339;8795;0.0497;0.005663;;89664;89666;175815;196840;89664;89634;103559;173986;7394712;89634
2;19;15750;15750;132;0;7202;0;-5681;5674;7199;5681;0.008380952380952381;0.003595555555555556;;23955;23961;40820;295058;23955;23959;129905;39002;8396933;23959
3;18;25200;25200;2303;0;4502;900;-3046;3914;4499;3946;0.0913888888888889;0.0022472222222222225;;414990;523105;31820;326980;434741;414971;555312;33917;9674193;415026
4;17;28350;28350;1314;0;4002;480;-2868;3326;4000;3348;0.04634920634920635;0.0019975308641975308;;236849;374103;4820;750116;247277;236830;371898;13222;10102856;236852
5;16;30240;30240;603;0;3751;180;-3154;3317;3750;3334;0.01994047619047619;0.0018726851851851853;;108734;212349;10220;995055;108777;108738;214324;123646;10325287;108740
6;15;42000;42000;522;0;2701;150;-2059;2203;2700;2209;0.012428571428571428;0.0013483333333333333;;94148;569985;175820;1112100;104845;94142;343975;1101375;12338696;94156
7;14;45360;45360;2850;0;2501;1170;-1154;2296;2500;2324;0.06283068783068783;0.001248456790123457;;513436;724610;10220;1214490;552686;513435;1081657;1203157;12420764;514778
8;13;50000;50000;2740;0;2269;1382;-534;1891;2268;1916;0.0548;0.0011326;;493640;2056568;274133;1736361;654135;493630;843475;1724415;13024920;494979
9;12;50400;50400;1113;0;2251;672;-1140;1791;2250;1812;0.022083333333333333;0.0011236111111111113;;200675;1479082;455857;2341187;257172;200654;336062;2328123;13010327;201423
10;11;54000;54000;8942;0;2101;5954;3873;2004;2100;2081;0.1655925925925926;0.0010487037037037038;;1647728;4105906;175824;2550576;2416160;1610690;2555440;2536712;12038165;1617292
11;10;56700;56700;1133;0;2001;442;-1098;1523;2000;1540;0.01998236331569665;0.0009987654320987654;;204279;3844089;259874;4309773;287492;204258;346881;3318743;13633885;204804
12;9;60000;60000;3146;0;1890;1778;141;1612;1890;1637;0.05243333333333333;0.0009438333333333334;;566843;5612335;274210;4521553;1027812;566830;1383743;3558073;13981464;569082
13;8;63000;63000;2343;0;1800;1185;-224;1398;1800;1409;0.03719047619047619;0.000898888888888889;;422192;5333349;208712;6042869;745835;422179;532654;4773460;14094140;423509
14;7;64800;64800;3224;0;1750;1798;190;1582;1750;1608;0.04975308641975309;0.0008739197530864197;;580874;5997430;67824;6473825;1128210;580872;1394017;5120307;13790365;583844
15;6;67500;67500;2251;0;1680;1326;58;1251;1680;1268;0.03334814814814815;0.000838962962962963;;405617;6233179;85824;7058121;786791;405604;1185359;4252052;15604706;408570
16;5;70000;70000;1520;0;1620;1036;-149;1178;1620;1185;0.021714285714285714;0.0008089999999999999;;273901;6016714;274220;7585396;690566;273907;409085;5750837;15684008;274502
17;4;70875;70875;53;0;1600;26;-1105;1130;1600;1131;0.0007477954144620811;0.0007990123456790123;;9743;4851053;18910;7965788;25525;9737;14629;6258224;15982446;9747
18;3;72000;72000;7295;47;1575;5241;3891;1289;1575;1350;0.10131944444444445;0.0007865277777777777;;1314148;10173335;175824;7989205;4140591;1314126;2143231;5720831;15525135;1322513
19;2;75600;75600;1392;122;1500;1069;136;917;1500;933;0.018412698412698412;0.0007490740740740741;;250871;9937566;491995;29312272;1161379;250860;396088;6928949;16216152;252120
20;1;90720;90720;9232;1194;1193;5789;4619;1067;1250;1170;0.1017636684303351;0.0006242283950617284;;1663046;43009094;24460780;963561115;17019734;1663014;2241336;9614404;17948025;1676553
;;113430862;;;;;30578;;;;48677;0.9701600088183422;0.029599911728395066;0.9997599205467372
;;;;;;;-0.5918961344757669;;;;;
