ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;10000;10000;202;0;11343;0;-8473;9435;11339;8473;0.0202;0.0019660000000000003;;37191;38521;3587;27916;37251;37091;48508;3543;7195426;37094
2;19;22500;22500;2973;0;5042;1260;-3272;4493;5039;4532;0.13213333333333332;0.0008737777777777778;;536363;591516;5430;100766;547643;536156;594942;4750;8905658;536311
3;18;28350;28350;4898;0;4001;2301;-1569;3815;4000;3870;0.1727689594356261;0.0006934744268077602;;883026;1478547;8680;762267;1010456;882905;1481617;77007;9135341;883918
4;17;40000;40000;493;0;2836;0;-2435;2432;2835;2435;0.012325;0.0004915000000000001;;89593;89598;45529;1493947;89593;89503;679468;502326;11139151;89539
5;16;45000;45000;1922;0;2521;551;-1555;2091;2520;2106;0.04271111111111111;0.0004368888888888889;;346958;1382169;544925;1586591;409479;346865;398323;1577613;11718629;347112
6;15;45360;45360;1169;0;2501;408;-1787;2186;2500;2195;0.025771604938271606;0.0004334215167548501;;211417;1245981;11842;2103033;250266;211323;1691445;1971919;11961044;212389
7;14;47250;47250;104;0;2401;96;-2024;2120;2400;2120;0.002201058201058201;0.0004160846560846561;;19592;703881;5436;2330705;28255;19497;25093;2185917;12277727;19521
8;13;50000;50000;1901;0;2269;438;-1563;1993;2268;2001;0.03802;0.0003932;;343184;2515615;45538;2219230;452341;343091;1240138;2208024;12539792;343972
9;12;50400;50400;515;0;2251;77;-1857;1930;2250;1934;0.010218253968253968;0.0003900793650793651;;93559;1602494;5369;2646454;109264;93464;643177;2553900;12747262;93502
10;11;56250;56250;40;0;2017;123;-1444;1567;2016;1567;0.0007111111111111111;0.00034951111111111114;;8066;1252414;49649;2662663;18097;7971;16255;2650088;14584774;8002
11;10;56700;56700;6363;0;2001;2914;1031;1839;2000;1883;0.11222222222222222;0.0003467372134038801;;1146918;2930796;909616;2799700;1579787;1146828;1748347;2660839;12726436;1150899
12;9;60000;60000;3349;0;1891;1296;-335;1615;1890;1631;0.05581666666666667;0.0003276666666666667;;604040;4405733;45615;3869073;979998;603951;2089773;3855036;13778672;607136
13;8;63000;63000;957;0;1801;249;-1415;1655;1800;1664;0.01519047619047619;0.00031206349206349207;;173119;4305115;4668;5022427;223211;173024;1068708;5005553;13687081;174306
14;7;64800;64800;4793;0;1750;2190;523;1643;1750;1667;0.07396604938271605;0.0003033950617283951;;864044;6110014;4668;5203014;1743053;863999;1799249;5181660;13664380;866734
15;6;70000;70000;94;0;1620;30;-1229;1256;1620;1259;0.0013428571428571428;0.00028085714285714286;;17765;1497951;45542;7000766;24181;17695;24749;5881140;15868646;17697
16;5;70875;70875;7914;0;1600;4068;2534;1491;1600;1534;0.11166137566137566;0.0002773897707231041;;1426228;8598866;27166;7117551;3635632;1426170;2072354;5539200;14546714;1433403
17;4;75600;75600;4551;104;1500;2225;1067;1126;1500;1158;0.060198412698412695;0.0002600529100529101;;820445;11232171;40690;10307299;3085632;820427;1422347;7209912;15838784;824644
18;3;78750;78750;373;81;1440;170;-848;1017;1440;1018;0.004736507936507936;0.00024965079365079365;;67929;10804146;49690;30393025;358996;67913;963292;7937422;17281029;68403
19;2;81000;81000;4690;547;1400;2810;1650;1122;1400;1160;0.057901234567901236;0.00024271604938271607;;845469;20349340;4690;30651661;7066529;845451;2377403;7308058;16663727;850969
20;1;100000;100000;3578;993;993;1695;793;888;1134;902;0.03578;0.0001966;;645195;100543937;77632372;2593751618;20470956;645175;1586164;11473370;20822761;648157
;;113430872;;;;;22901;;;;45109;0.9858762345679012;0.00924106684303351;0.9951173014109347
;;;;;;;-0.9697393126937688;;;;;
