ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;15750;15750;946;0;7200;0;0;0;7200;0;0.06006349206349206;0.0025523809523809527;;170484;170627;40551;195880;170484;170486;170624;38514;195610;170486
2;19;18900;18900;908;0;6000;0;0;0;6000;0;0.04804232804232804;0.002126984126984127;;163627;163774;13551;375055;163627;163631;163772;11514;374663;163633
3;18;22500;22500;1018;0;5040;240;0;0;5040;240;0.04524444444444444;0.0017866666666666669;;183549;366516;85551;546804;191026;183552;366203;83508;546496;191032
4;17;26250;26250;650;0;4320;0;0;0;4320;0;0.024761904761904763;0.0015314285714285714;;117200;117206;40546;738405;117200;117208;117210;38514;738184;117208
5;16;28350;28350;681;0;4000;160;0;0;4000;160;0.02402116402116402;0.001417989417989418;;122776;320987;4551;863708;128689;122780;320890;20514;863562;128659
6;15;33750;33750;117;0;3360;0;0;0;3360;0;0.0034666666666666665;0.001191111111111111;;21252;21258;40551;994768;21252;21260;21262;38514;994710;21260
7;14;35000;35000;341;0;3240;120;0;0;3240;120;0.009742857142857143;0.0011485714285714285;;61580;258466;175551;1024209;66718;61580;258018;173515;1024245;66705
8;13;39375;39375;1217;0;2880;201;40;0;2880;161;0.03090793650793651;0.001020952380952381;;219390;533480;18055;1094175;231787;219392;533118;16018;1094300;229899
9;12;75000;75000;9652;0;1512;3896;-1;0;1512;3897;0.12869333333333333;0.000536;;1738635;2808640;175555;1321878;2269472;1738632;2809283;173518;1322110;2268418
10;11;81000;81000;2237;0;1400;655;10;0;1400;645;0.027617283950617282;0.0004962962962962963;;403089;3173171;175555;3252814;545817;403090;3047203;173518;3252718;531569
11;10;87500;87500;3154;0;1296;976;0;0;1296;976;0.036045714285714285;0.00045942857142857146;;568295;1397012;85555;3841387;740769;568296;1396238;83518;3840955;737903
12;9;94500;94500;211;0;1200;24;7;0;1200;17;0.0022328042328042326;0.0004253968253968254;;38167;3647695;437458;4618249;76608;38171;2266016;435524;4617073;66605
13;8;131250;131250;6055;0;864;1498;3;0;864;1495;0.04613333333333333;0.00030628571428571423;;1090820;2372285;166590;4665060;1467973;1090821;2371568;164577;4663977;1466830
14;7;135000;135000;561;0;840;143;0;0;840;143;0.0041555555555555556;0.0002977777777777778;;101169;1533275;398280;6249251;144848;101173;637262;396369;6246585;133969
15;6;162000;162000;530;0;700;72;0;0;700;72;0.003271604938271605;0.00024814814814814816;;95593;1734997;587928;6356595;131857;95597;1733576;585938;6354363;127156
16;5;168000;168000;897;0;675;92;-4;0;675;96;0.005339285714285714;0.00023928571428571429;;161655;2934774;175555;6446723;205494;161659;2932365;173518;6441672;207509
17;4;175000;175000;2953;0;648;692;15;0;648;677;0.016874285714285713;0.00022971428571428573;;531979;1793405;823898;6691570;805499;531966;1698730;822008;6686188;800728
18;3;181440;181440;1997;0;625;337;0;0;625;337;0.011006393298059965;0.00022156084656084656;;359906;6624984;9955;7641276;610354;359891;6622582;7918;7635135;611194
19;2;200000;200000;5754;0;567;1033;4;0;567;1029;0.02877;0.000201;;1036515;4551010;175555;8009418;1666287;1036504;4273890;173518;8003347;1648413
20;1;708750;708750;19056;0;160;1158;0;0;160;1158;0.026886772486772487;5.671957671957672e-05;;4331267;12568857;737425;9434494;7490115;4328734;12566060;735956;9427698;7482416
;;113400000;;;;;11297;;;;11223;0.5832771604938272;0.016493698412698408;0.5997708589065256
;;;;;;;0.006550411613702753;;;;;
