ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;15750;15750;770;0;7200;0;0;0;7200;0;0.04888888888888889;0.0012482539682539683;;139429;140649;5363;144282;139489;139364;140346;4390;144511;140210
2;19;20000;20000;1270;0;5670;360;0;0;5670;360;0.0635;0.0009830000000000001;;229619;380535;4150;169947;237865;229535;381350;3640;170062;238557
3;18;22500;22500;1951;0;5040;190;100;0;5040;90;0.08671111111111111;0.0008737777777777778;;352206;595658;4536;402551;358661;352199;499971;3647;402630;354578
4;17;35000;35000;60;0;3240;0;0;0;3240;0;0.0017142857142857142;0.0005617142857142857;;11670;12806;3914;757802;11670;11613;12557;3635;757931;11613
5;16;42000;42000;1647;0;2700;90;0;0;2700;90;0.039214285714285715;0.00046809523809523816;;297454;536672;3521;772540;304851;297398;536746;3635;772666;305166
6;15;54000;54000;2114;0;2100;444;0;0;2100;444;0.03914814814814815;0.00036407407407407406;;381637;767429;4536;1073120;418000;381579;768333;3640;1073242;418462
7;14;56250;56250;501;0;2016;38;0;0;2016;38;0.008906666666666667;0.00034951111111111114;;91043;860350;49536;1458057;114846;90986;475374;48640;1457887;113888
8;13;63000;63000;166;0;1800;10;6;0;1800;4;0.002634920634920635;0.00031206349206349207;;30705;269744;147731;1552334;31746;30683;34934;147549;1552159;30687
9;12;67500;67500;549;0;1680;66;-2;0;1680;68;0.008133333333333333;0.0002912592592592593;;99679;584103;360436;1586370;139984;99622;549221;360436;1586190;139978
10;11;90000;90000;3969;0;1260;746;-62;0;1260;808;0.0441;0.00021844444444444445;;715767;1405716;360436;1689530;806285;715597;1504614;360376;4100613;826756
11;10;90720;90720;1789;0;1250;386;-56;0;1250;442;0.019720017636684302;0.00021671075837742504;;323022;1900251;11868;2412085;432020;322966;1602907;10852;4944117;431574
12;9;94500;94500;12199;0;1200;3596;208;0;1200;3388;0.1290899470899471;0.00020804232804232805;;2345079;4836600;180436;2738743;3246708;2344926;3554547;180436;3185938;3000502
13;8;100000;100000;3939;0;1134;1080;6;0;1134;1074;0.03939;0.0001966;;710247;5689022;237882;5679030;1160279;710190;5076174;237733;5821865;1090836
14;7;108000;108000;8276;0;1050;2194;67;0;1050;2127;0.07662962962962963;0.00018203703703703703;;1491504;6929312;390187;6565073;2527298;1491449;3602862;390005;6559318;2153021
15;6;113400;113400;5696;0;1000;1668;76;0;1000;1592;0.050229276895943566;0.00017336860670194004;;1026746;9834563;40543;9110990;2122151;1026690;3960399;39666;9102945;1660686
16;5;135000;135000;299;0;840;68;-11;0;840;79;0.002214814814814815;0.00014562962962962964;;54633;1189380;464748;10620436;81024;54623;1189105;464445;10620436;82399
17;4;168000;168000;376;0;675;92;-3;0;675;95;0.0022380952380952382;0.00011702380952380954;;68552;9819078;306004;10669023;162723;68495;9818109;305822;10664603;163192
18;3;200000;200000;286;0;567;30;2;0;567;28;0.00143;9.83e-05;;52351;3534514;952954;10740635;91138;52294;3533892;952649;10736232;90153
19;2;472500;472500;984;0;240;77;0;0;240;77;0.0020825396825396823;4.1608465608465614e-05;;178105;4823589;3306169;10796102;422022;178058;4822863;3305560;10791716;421874
20;1;648000;648000;15011;0;175;767;0;0;175;767;0.023165123456790122;3.033950617283951e-05;;3276215;11334113;1886808;11214541;6110589;3275880;11332815;1886512;11210083;6109586
;;113400000;;;;;11902;;;;11571;0.6891410846560847;0.007079853791887125;0.6962209384479718
;;;;;;;0.02781045202486977;;;;;
