ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;26250;26250;316;0;4320;0;0;0;4320;0;0.012038095238095238;0.000748952380952381;;57710;58824;5357;144164;57762;57645;58646;4385;143212;58491
2;19;35000;35000;219;0;3240;0;0;0;3240;0;0.006257142857142857;0.0005617142857142857;;40276;41365;4536;87353;40277;40186;41168;3640;656242;40222
3;18;37800;37800;536;0;3000;0;0;0;3000;0;0.01417989417989418;0.0005201058201058201;;97380;98434;5357;153238;97380;97293;102791;4385;1059996;97952
4;17;39375;39375;145;0;2880;0;0;0;2880;0;0.0036825396825396826;0.0004993015873015873;;26970;28081;27036;231177;26970;26913;31148;26140;1313499;26913
5;16;40000;40000;595;0;2835;0;0;0;2835;0;0.014875;0.0004915000000000001;;107958;109096;4331;261271;107958;107901;112738;3640;1347145;108055
6;15;45000;45000;1409;0;2520;15;-27;0;2520;42;0.03131111111111111;0.0004368888888888889;;254614;360604;4536;372544;254669;254558;408822;3640;1957542;256251
7;14;47250;47250;5742;0;2400;1372;334;0;2400;1038;0.12152380952380952;0.0004160846560846561;;1035056;1466986;49536;630450;1114520;1034969;1264394;48640;1310312;1075486
8;13;50000;50000;72;0;2268;0;-5;0;2268;5;0.00144;0.0003932;;13829;64974;3782;1668941;13829;13772;122589;3645;3415466;13772
9;12;54000;54000;2731;0;2100;693;52;0;2100;641;0.05057407407407408;0.00036407407407407406;;492698;759289;3699;1686176;519180;492640;811133;3645;2823707;516134
10;11;56250;56250;302;0;2016;24;-10;0;2016;34;0.005368888888888889;0.00034951111111111114;;55224;595609;49543;2183948;59534;55167;1212324;48645;4056251;58070
11;10;56700;56700;1109;0;2000;306;15;0;2000;291;0.019559082892416226;0.0003467372134038801;;200622;702668;22543;2241012;215893;200566;604176;21652;3176433;217172
12;9;60000;60000;1116;0;1890;207;-33;0;1890;240;0.0186;0.0003276666666666667;;201880;1316376;4543;2435595;240196;201824;1502066;3645;4011238;239989
13;8;60480;60480;7533;0;1875;2867;487;0;1875;2380;0.12455357142857143;0.00032506613756613757;;1357648;3886177;11743;2640254;1852706;1357592;3040243;10852;2978995;1713203
14;7;64800;64800;6364;0;1750;2452;443;0;1750;2009;0.09820987654320988;0.0003033950617283951;;1147105;5251199;40543;4000858;1760830;1147048;2873870;39652;3997443;1434010
15;6;65625;65625;399;0;1728;92;25;0;1728;67;0.00608;0.0002995809523809524;;72682;4073591;27043;5318056;114771;72626;2161123;26152;5212720;87800
16;5;67500;67500;5079;0;1680;1848;476;0;1680;1372;0.07524444444444445;0.0002912592592592593;;915685;6184104;94543;5394261;1500165;915629;3551886;93652;5288503;1185515
17;4;72000;72000;1069;0;1575;323;2;0;1575;321;0.014847222222222222;0.0002730555555555556;;193414;4022376;4543;6231497;249194;193358;1938831;3645;6207211;242474
18;3;81000;81000;10778;1;1400;4173;955;0;1400;3218;0.13306172839506172;0.00024271604938271607;;1942087;8699626;4543;6477663;3994173;1942148;5601803;3652;6480272;2912733
19;2;87500;87500;4554;2;1296;1724;288;0;1296;1436;0.052045714285714285;0.0002246857142857143;;821065;9746338;49059;18387659;2328271;821009;8720430;48876;8658606;1806633
20;1;100000;100000;8490;34;1134;3227;631;0;1134;2596;0.0849;0.0001966;;1530009;22185253;22717;21020968;6032698;1529953;10933522;22606;10864116;4007168
;;113400000;;;;;19323;;;;15690;0.8883521957671956;0.007612095414462082;0.8959642911816577
;;;;;;;0.1880142834963515;;;;;
