ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;40000;40000;1899;0;2835;0;0;0;2835;0;0.047475;0.0010049999999999998;;342147;348887;175571;193625;342147;342148;349155;173511;646233;342150
2;19;42000;42000;4510;0;2700;270;270;0;2700;0;0.10738095238095238;0.0009571428571428571;;812474;1180150;175571;543884;848591;812461;823975;173511;543958;813352
3;18;50400;50400;642;0;2250;0;0;0;2250;0;0.012738095238095238;0.0007976190476190477;;115755;120441;31571;1364400;115761;115759;120241;29511;1364611;115763
4;17;60480;60480;1367;0;1875;45;14;0;1875;31;0.022602513227513228;0.0006646825396825397;;246362;1072213;9971;1488516;258479;246356;1077130;7911;2011788;255992
5;16;63000;63000;4471;0;1800;330;150;0;1800;180;0.07096825396825397;0.0006380952380952382;;805438;1427244;175571;1743181;865384;805441;1171588;173511;3180929;841904
6;15;64800;64800;1247;0;1750;40;0;0;1750;40;0.019243827160493828;0.0006203703703703703;;224778;1658376;31571;2559084;237194;224777;1050055;29511;3368343;234159
7;14;84000;84000;5302;0;1350;390;-5;0;1350;395;0.06311904761904762;0.00047857142857142857;;955161;1814224;997003;2792327;1042119;955142;1812965;994982;4226539;1043061
8;13;87500;87500;3287;0;1296;350;-85;0;1296;435;0.037565714285714286;0.00045942857142857146;;592224;2976237;85575;3747756;689666;592213;2492109;83515;7195470;725006
9;12;90720;90720;3883;0;1250;384;-59;0;1250;443;0.04280202821869489;0.0004431216931216931;;699481;3823519;10830;4363404;939671;699482;3087745;8410;5386896;945337
10;11;94500;94500;11068;0;1200;1845;386;0;1200;1459;0.11712169312169313;0.0004253968253968254;;1993748;6774833;85575;5071582;2974197;1993749;4273971;83515;6838829;2492711
11;10;100000;100000;230;0;1134;52;9;0;1134;43;0.0023;0.000402;;41601;5142597;175575;7076506;85795;41605;3928103;173515;9033145;76077
12;9;105000;105000;1496;0;1080;206;3;0;1080;203;0.014247619047619047;0.00038285714285714285;;269602;5032578;175575;7126603;370456;269589;2169459;173515;8183486;350589
13;8;108000;108000;2418;0;1050;150;-25;0;1050;175;0.02238888888888889;0.00037222222222222225;;435676;2965388;175575;8564647;538188;435677;4017801;173515;8561396;537202
14;7;118125;118125;2216;0;960;294;3;0;960;291;0.01875978835978836;0.0003403174603174603;;399316;4533791;18085;9032727;641836;399314;4482065;16034;9005255;631453
15;6;140000;140000;1886;0;810;182;-59;0;810;241;0.013471428571428572;0.0002871428571428571;;339812;6438456;175575;9569869;536142;339799;5843944;173515;10944192;626049
16;5;141750;141750;14015;0;800;2227;253;0;800;1974;0.09887125220458554;0.00028359788359788357;;2579984;10015052;40575;9893049;5153334;2524557;7515060;38515;9889661;4790181
17;4;162000;162000;11037;0;700;1439;271;0;700;1168;0.06812962962962962;0.00024814814814814816;;1988173;11626889;175575;13774837;5131328;1988174;10752695;173515;14060376;4138178
18;3;180000;180000;16925;20;630;2116;227;0;630;1889;0.09402777777777778;0.00022333333333333336;;3048591;26617177;175575;25028605;11770815;3048592;17039747;173515;18624747;8231053
19;2;196875;196875;646;15;576;69;0;0;576;69;0.0032812698412698414;0.0002041904761904762;;116443;22229529;18085;50349551;569332;116473;11192985;16034;26908493;378694
20;1;675000;675000;9538;0;168;347;1;0;168;346;0.01413037037037037;5.9555555555555554e-05;;1718116;27842489;175575;63036876;9188284;1718116;27836993;173515;63035740;9183997
;;113400000;;;;;10736;;;;9382;0.8906251499118167;0.009292793650793652;0.8999179435626103
;;;;;;;0.1261177347242921;;;;;
