ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;10000;10000;312;0;11340;0;0;0;11340;0;0.0312;0.004019999999999999;;56361;56363;175552;198742;56361;56365;56367;173522;199865;56365
2;19;22500;22500;1381;0;5040;0;0;0;5040;0;0.06137777777777778;0.0017866666666666669;;248919;255889;85557;263659;248920;248920;256329;83531;264682;248922
3;18;30240;30240;61;0;3750;0;0;0;3750;0;0.0020171957671957673;0.0013293650793650795;;11171;11313;9957;520551;11171;11179;11314;7931;521658;11179
4;17;39375;39375;122;0;2880;0;0;0;2880;0;0.0030984126984126984;0.001020952380952381;;22153;22297;18057;539903;22153;22157;22298;16031;541099;22157
5;16;47250;47250;2311;0;2400;810;-2;0;2400;812;0.04891005291005291;0.0008507936507936508;;416426;679402;40557;570210;446653;416417;679094;38531;571481;446518
6;15;50000;50000;2014;0;2268;523;13;0;2268;510;0.04028;0.000804;;362973;1083967;240531;994846;412138;362973;1084093;238528;996223;409729
7;14;52500;52500;1226;0;2160;126;-2;0;2160;128;0.02335238095238095;0.0007657142857142857;;221000;688537;85557;1366092;225262;221003;290772;83532;1367557;223167
8;13;56250;56250;3825;0;2016;1338;88;0;2016;1250;0.068;0.0007146666666666666;;689062;1423745;40561;1595423;763722;689065;1217876;38535;1596977;752267
9;12;60480;60480;2381;0;1875;813;1;0;1875;812;0.03936838624338624;0.0006646825396825397;;429035;1924648;30557;2356529;557310;429035;1923285;28513;2591419;555752
10;11;63000;63000;686;0;1800;116;-6;0;1800;122;0.010888888888888889;0.0006380952380952382;;123677;826278;175561;2794047;132330;123681;566011;173535;2793480;131454
11;10;65625;65625;1131;0;1728;240;-30;0;1728;270;0.017234285714285716;0.0006125714285714285;;203921;1372193;18061;2926493;231763;203919;1108520;16035;2925958;236171
12;9;70000;70000;3276;0;1620;897;6;0;1620;891;0.0468;0.0005742857142857142;;590231;3103037;240553;3139062;798616;590223;2888937;238518;3138567;771443
13;8;70875;70875;5398;0;1600;2218;209;0;1600;2009;0.07616225749559083;0.0005671957671957671;;972450;4115946;18061;3746320;1443461;972451;3104727;16035;3726365;1318240
14;7;87500;87500;11250;0;1296;4118;132;0;1296;3986;0.12857142857142856;0.00045942857142857146;;2095728;6568212;85561;5058610;3421256;2095288;6103652;83535;5057979;3212702
15;6;90720;90720;6536;0;1250;2398;180;0;1250;2218;0.07204585537918871;0.0004431216931216931;;1177401;8521457;37728;7181764;2437236;1177383;7667158;35733;7161085;2023272
16;5;113400;113400;6858;0;1000;2096;7;0;1000;2089;0.060476190476190475;0.0003544973544973545;;1235353;9956144;31561;9170038;2764511;1235355;8318016;29535;9167127;2566906
17;4;150000;150000;6705;0;756;1764;7;0;756;1757;0.0447;0.000268;;1207794;11944111;612915;14670477;3382155;1207815;11940879;611026;14662162;3322925
18;3;196875;196875;8344;0;576;1642;7;0;576;1635;0.042382222222222224;0.0002041904761904762;;1503086;16294136;262818;23550787;5185784;1503087;16287234;260914;21626357;5076758
19;2;567000;567000;10405;0;200;789;-5;0;200;794;0.018350970017636685;7.089947089947089e-05;;1943691;24715949;3289910;29968232;8787674;1943065;24704039;3287686;29954201;8797271
20;1;810000;810000;39203;0;140;2036;0;0;140;2036;0.04839876543209876;4.9629629629629625e-05;;29610726;62765946;498497;45830449;46572518;29595907;62734031;496589;45809000;46117569
;;113400000;;;;;21924;;;;21319;0.8836150705467372;0.016198756613756613;0.8998138271604937
;;;;;;;0.02759532931946725;;;;;
