ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Regular Completions;FPS Preemptions;Less;EDF Deadline Miss;EDF Regular Completions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Response Jitter;FPS Max Response Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Response Jitter;EDF Min Response Jitter;EDF Max Response Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Response Jitter
1;20;11000;11000;175;0;91;0;0;0;91;0;0.015909090909090907;0.0017872727272727274;;32354;33389;5278;25428;32389;32264;33246;4392;51149;32734
2;19;11000;11000;132;0;91;0;0;0;91;0;0.012;0.0017872727272727274;;24619;24624;40688;60593;24622;24529;25511;4392;44960;25002
3;18;13000;13000;680;0;77;0;0;0;77;0;0.052307692307692305;0.0015123076923076926;;123288;127301;4536;87431;123331;123336;127442;3647;85707;124087
4;17;14000;14000;168;0;72;0;0;0;72;0;0.012;0.0014042857142857143;;31101;32185;4642;213097;31127;31044;31988;3640;211393;31795
5;16;20000;20000;780;0;50;3;0;0;50;3;0.039;0.0009830000000000001;;141291;272077;4536;246530;146803;141339;271932;3647;244843;147376
6;15;25000;25000;3518;0;40;31;0;0;40;31;0.14072;0.0007864;;634476;869352;4560;390312;698329;634420;869950;3647;388645;698757
7;14;26000;26000;598;0;39;4;1;0;39;3;0.023;0.0007561538461538463;;108502;819295;131818;1027230;134426;108445;258556;131633;1025585;116269
8;13;40000;40000;4451;0;25;32;0;0;25;32;0.111275;0.0004915000000000001;;802535;1791449;149894;1138363;1075031;802479;1791041;149693;1961485;1046914
9;12;42000;42000;601;0;24;3;0;0;24;3;0.01430952380952381;0.00046809523809523816;;109046;352444;39765;1943457;128441;108989;352208;39582;1941849;128191
10;11;43000;43000;8107;0;24;61;0;0;24;61;0.18853488372093025;0.00045720930232558143;;1503789;3648931;4543;2123437;2181338;1503947;3518104;3652;2121675;2105874
11;10;58000;58000;274;0;18;0;0;0;18;0;0.004724137931034483;0.00033896551724137933;;50192;54314;4543;3905583;50435;50135;51079;3666;3903560;50378
12;9;60000;60000;553;0;17;5;0;0;17;5;0.009216666666666666;0.0003276666666666667;;100410;1637786;150132;3958499;217994;100353;1637531;214719;3956493;217895
13;8;63000;63000;266;0;16;0;-3;0;16;3;0.004222222222222222;0.00031206349206349207;;48747;48883;4543;4130006;48807;48690;2015244;3666;4127948;245008
14;7;79000;79000;5787;0;13;31;0;0;13;31;0.07325316455696203;0.0002488607594936709;;1243349;4957541;4543;4181723;2529349;1243904;4903104;3666;4179684;2521366
15;6;83000;83000;1677;0;13;8;2;0;13;6;0.020204819277108432;0.0002368674698795181;;302861;3141914;4543;6220427;589947;302804;3141517;3666;6218104;581200
16;5;84000;84000;1505;0;12;4;-3;0;12;7;0.017916666666666668;0.00023404761904761908;;271904;2240545;154263;6526352;466760;271848;3983244;154013;8610322;1091921
17;4;84000;84000;4908;0;12;34;9;0;12;25;0.05842857142857143;0.00023404761904761908;;884902;5749621;430079;6801258;2446193;884728;4562882;155099;6524049;1900660
18;3;87000;87000;675;0;12;1;-1;0;12;2;0.007758620689655172;0.0002259770114942529;;122357;832291;1096487;12024795;194020;122300;831793;1096126;11614101;203307
19;2;96000;96000;1579;0;11;7;-2;0;11;9;0.016447916666666666;0.00020479166666666668;;285216;4226032;4543;12150234;1109634;285159;4225407;3666;11870093;785031
20;1;99000;99000;5832;1;10;29;2;0;10;27;0.05890909090909091;0.0001985858585858586;;1220880;13147873;69447;12438569;5814940;1089982;6903299;69233;12226286;3368336
;;1000000;;;;;253;;;;248;0.8801380677618821;0.012995370927900273;0.8931334386897823
;;;;;;;0.019762845849802372;;;;;
