ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;15750;15750;69;0;7200;0;-3626;3657;7199;3626;0.004380952380952381;0.0025523809523809527;;12620;12622;40821;195004;12620;12590;23308;39005;7335387;12618
2;19;20000;20000;2371;0;5670;720;-2808;3503;5669;3528;0.11855;0.0020099999999999996;;427230;457336;175816;216152;430986;427211;463277;173989;7664334;427297
3;18;26250;26250;937;0;4320;0;-2375;2369;4319;2375;0.03569523809523809;0.0015314285714285714;;168867;174394;40821;651397;168869;168837;635721;39049;8611396;169006
4;17;28350;28350;668;0;4000;50;-2010;2050;3999;2060;0.023562610229276897;0.001417989417989418;;120430;324303;4821;828431;120809;120429;575203;21049;8859852;120560
5;16;30240;30240;2876;0;3750;1400;-1227;2594;3749;2627;0.09510582010582011;0.0013293650793650795;;518123;1297349;10221;957124;608539;518110;988819;32851;8672846;520947
6;15;42000;42000;812;0;2700;90;-1492;1574;2699;1582;0.019333333333333334;0.0009571428571428571;;146355;769407;175821;1483629;155543;146359;590465;1405963;10633938;146750
7;14;45000;45000;5099;0;2520;2940;1025;1877;2519;1915;0.11331111111111111;0.0008933333333333334;;918618;2232403;175821;1638453;1248276;918608;2232969;1622557;10245940;926065
8;13;47250;47250;700;0;2400;110;-1104;1207;2399;1214;0.014814814814814815;0.0008507936507936508;;126193;1754458;62447;2570778;154851;126197;573195;1622015;11220595;126690
9;12;50000;50000;962;0;2268;437;-722;1155;2267;1159;0.01924;0.000804;;173351;1930294;175825;2703234;217824;173350;746738;2689009;11694975;174358
10;11;50400;50400;4071;0;2250;2010;547;1428;2249;1463;0.08077380952380953;0.0007976190476190477;;733456;3303126;31825;2917238;1115864;733445;1389158;2330445;11108659;739372
11;10;52500;52500;1149;0;2160;456;-546;991;2159;1002;0.021885714285714286;0.0007657142857142857;;207140;3366336;263980;3655303;334577;207131;740910;2905272;11432812;209207
12;9;54000;54000;7557;0;2100;4583;2899;1620;2099;1684;0.13994444444444445;0.0007444444444444445;;1361304;5700912;175825;4311211;2648202;1361284;2546019;2583021;10976745;1374126
13;8;60480;60480;78;0;1875;139;-606;743;1875;745;0.0012896825396825397;0.0006646825396825397;;14231;4429374;537726;6556484;112265;14235;26652;4728003;13033140;14238
14;7;67500;67500;441;0;1680;115;-381;488;1680;496;0.006533333333333334;0.0005955555555555556;;79579;1583407;85826;6574671;113754;79583;523771;4742702;13904599;80526
15;6;70000;70000;4875;0;1620;2341;1515;794;1620;826;0.06964285714285715;0.0005742857142857142;;878168;6830358;175825;6666452;2341990;878166;2058027;5360198;14185516;885258
16;5;72000;72000;2345;15;1575;1214;620;578;1575;594;0.03256944444444444;0.0005583333333333333;;422549;7287474;175825;8152879;1125136;422538;1601376;6514096;14610686;427211
17;4;75000;75000;3241;14;1512;1729;1068;648;1512;661;0.04321333333333333;0.000536;;583932;8858051;175825;15864838;1916148;583933;1056770;6685434;15577916;588568
18;3;81000;81000;2412;34;1400;1222;821;384;1400;401;0.029777777777777778;0.0004962962962962963;;434587;10845997;175825;23145290;1524421;434589;1411846;7704056;16499340;440091
19;2;90000;90000;1392;58;1260;766;621;134;1260;145;0.015466666666666667;0.0004466666666666667;;250870;11106217;1103692;24239224;1382812;250873;713978;8533130;16990987;254263
20;1;90720;90720;7778;1220;1219;4536;3760;729;1250;776;0.0857363315696649;0.0004431216931216931;;1401094;44895922;27353440;535173023;16664670;1401065;2192905;9982623;17214235;1416233
;;113400000;;;;;24858;;;;28879;0.970827275132275;0.018969153439153442;0.9897964285714284
;;;;;;;-0.16175878992678414;;;;;
