ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;20;30000;30000;91;0;40000;0;0;0;40000;0;0.003033333333333333;0.00134
2;19;36000;36000;2187;0;33334;0;0;0;33334;0;0.06075;0.0011166666666666666
3;18;41000;41000;739;0;29269;0;-177;0;29269;177;0.018024390243902438;0.0009804878048780487
4;17;43000;43000;5277;0;27907;11501;2690;0;27907;8811;0.12272093023255815;0.0009348837209302325
5;16;44000;44000;1549;0;27273;1648;35;0;27273;1613;0.035204545454545454;0.0009136363636363636
6;15;44000;44000;1304;0;27273;3593;2050;0;27273;1543;0.029636363636363638;0.0009136363636363636
7;14;49000;49000;2343;0;24490;6414;580;0;24490;5834;0.04781632653061225;0.0008204081632653061
8;13;52000;52000;435;0;23077;267;-59;0;23077;326;0.008365384615384615;0.000773076923076923
9;12;61000;61000;307;0;19673;242;-231;0;19673;473;0.005032786885245902;0.000659016393442623
10;11;62000;62000;2342;0;19355;7088;563;0;19355;6525;0.0377741935483871;0.0006483870967741935
11;10;69000;69000;150;0;17392;122;-183;0;17392;305;0.002173913043478261;0.0005826086956521739
12;9;70000;70000;3693;0;17143;9576;99;0;17143;9477;0.05275714285714286;0.0005742857142857142
13;8;71000;71000;50;0;16902;43;-71;0;16902;114;0.0007042253521126761;0.0005661971830985916
14;7;72000;72000;3353;0;16667;11350;2923;0;16667;8427;0.04656944444444444;0.0005583333333333333
15;6;73000;73000;3364;0;16439;12173;1416;0;16439;10757;0.046082191780821916;0.0005506849315068494
16;5;73000;73000;3838;0;16439;15009;3688;0;16439;11321;0.052575342465753426;0.0005506849315068494
17;4;78000;78000;2715;0;15385;8219;1012;0;15385;7207;0.03480769230769231;0.0005153846153846154
18;3;79000;79000;4558;0;15190;17105;3137;0;15190;13968;0.05769620253164557;0.0005088607594936708
19;2;98000;98000;8640;0;12245;27439;6481;0;12245;20958;0.08816326530612245;0.00041020408163265306
20;1;98000;98000;13289;131;12245;50673;18413;0;12245;32260;0.13560204081632654;0.00041020408163265306
;;1200000000;;;;;182462;;;;140096;0.8854897153858734;0.014327647823833825;0.8998173632097072
;;;;;;;0.23219081233352698;;;;;
