utilization;EDF_busy_period;FPS_busy_period;EDF_first_DM_miss;EDF_schedulable;FPS_schedulable;hyperperiod;Priority_i,Deadline_i,Period_i,ID_i,WCET_i,EDF_response_time_i,FPS_response_time_i,FPS_deadline_miss_task_i,utilization_context_switch_i,utilization_clock_i;;;;;;;;;;;;;;;;;;;
0.9;353994.0;353994.0;0;1;0;113400000;20,22500,22500,1,1362,1380.0,1380.0,0,0.0008,0.0009866666666666667;19,25200,25200,2,280,1678.0,1678.0,0,0.0007142857142857143,0.0008809523809523809;18,33750,33750,3,2540,4236.0,4236.0,0,0.0005333333333333334,0.0006577777777777777;17,37800,37800,4,1402,5656.0,5656.0,0,0.0004761904761904762,0.0005873015873015873;16,45000,45000,5,5332,11462.0,11006.0,0,0.0004,0.0004933333333333334;15,45360,45360,6,798,11822.0,11822.0,0,0.0003968253968253968,0.0004894179894179894;14,70875,70875,7,903,12743.0,12743.0,0,0.00025396825396825396,0.00031322751322751324;13,84000,84000,8,1468,17146.0,14229.0,0,0.00021428571428571427,0.0002642857142857143;12,100000,100000,9,5798,33146.0,20045.0,0,0.00018,0.000222;11,100800,100800,10,751,33946.0,20814.0,0,0.00017857142857142857,0.00022023809523809523;10,108000,108000,11,3574,41146.0,26084.0,0,0.00016666666666666666,0.00020555555555555556;9,120000,120000,12,2290,53146.0,28392.0,0,0.00015,0.000185;8,131250,131250,13,12242,64396.0,44630.0,0,0.00013714285714285713,0.00016914285714285713;7,140000,140000,14,4245,73146.0,56737.0,0,0.00012857142857142858,0.00015857142857142857;6,157500,157500,15,12744,90646.0,74358.0,0,0.00011428571428571428,0.00014095238095238096;5,180000,180000,16,245,113146.0,74621.0,0,0.0001,0.00012333333333333334;4,181440,181440,17,11499,114586.0,89342.0,0,9.92063492063492e-05,0.00012235449735449735;3,189000,189000,18,2925,122146.0,99831.0,0,9.523809523809524e-05,0.00011746031746031745;2,196875,196875,19,21527,130021.0,235852.0,1,9.142857142857143e-05,0.00011276190476190476;1,600000,600000,20,15702,353994.0,353994.0,0,3e-05,3.7e-05
0.9;452737.0;452737.0;0;1;1;113400000;20,33750,33750,1,493,532.0,511.0,0,0.0005333333333333334,0.0006577777777777777;19,35000,35000,2,1253,1782.0,1782.0,0,0.0005142857142857143,0.0006342857142857143;18,37800,37800,3,67,1867.0,1867.0,0,0.0004761904761904762,0.0005873015873015873;17,47250,47250,4,295,2180.0,2180.0,0,0.00038095238095238096,0.0004698412698412698;16,65625,65625,5,2605,4803.0,4803.0,0,0.00027428571428571427,0.00033828571428571425;15,72000,72000,6,5690,10511.0,10511.0,0,0.00025,0.0003083333333333333;14,75600,75600,7,3373,13902.0,13902.0,0,0.0002380952380952381,0.00029365079365079364;13,78750,78750,8,1568,16844.0,15488.0,0,0.00022857142857142857,0.0002819047619047619;12,87500,87500,9,3605,25594.0,19111.0,0,0.00020571428571428572,0.0002537142857142857;11,90720,90720,10,9685,28814.0,28814.0,0,0.0001984126984126984,0.0002447089947089947;10,100000,100000,11,4338,35645.0,33170.0,0,0.00018,0.000222;9,112500,112500,12,317,48145.0,33505.0,0,0.00016,0.00019733333333333332;8,135000,135000,13,14515,70645.0,50218.0,0,0.00013333333333333334,0.00016444444444444444;7,151200,151200,14,14664,86845.0,64900.0,0,0.00011904761904761905,0.00014682539682539682;6,162000,162000,15,1222,97645.0,69274.0,0,0.00011111111111111112,0.00013703703703703702;5,168000,168000,16,11458,103645.0,112903.0,0,0.00010714285714285714,0.00013214285714285715;4,168750,168750,17,8770,104395.0,121776.0,0,0.00010666666666666667,0.00013155555555555555;3,196875,196875,18,1006,119340.0,122800.0,0,9.142857142857143e-05,0.00011276190476190476;2,405000,405000,19,15093,291425.0,241338.0,0,4.4444444444444447e-05,5.481481481481481e-05;1,540000,540000,20,43021,426425.0,452737.0,0,3.3333333333333335e-05,4.111111111111111e-05
0.9;251171.0;251171.0;0;1;0;56700000;20,22500,22500,1,1304,1322.0,1322.0,0,0.0008,0.0009866666666666667;19,25200,25200,2,33,1373.0,1373.0,0,0.0007142857142857143,0.0008809523809523809;18,26250,26250,3,593,1984.0,1984.0,0,0.0006857142857142857,0.0008457142857142857;17,33750,33750,4,4081,6083.0,6083.0,0,0.0005333333333333334,0.0006577777777777777;16,42000,42000,5,2507,8608.0,8608.0,0,0.00042857142857142855,0.0005285714285714286;15,45000,45000,6,465,9877.0,9091.0,0,0.0004,0.0004933333333333334;14,45360,45360,7,1128,10237.0,10237.0,0,0.0003968253968253968,0.0004894179894179894;13,56250,56250,8,5689,20706.0,15944.0,0,0.00032,0.00039466666666666665;12,63000,63000,9,9510,27456.0,27456.0,0,0.00028571428571428574,0.0003523809523809524;11,70000,70000,10,127,27653.0,27601.0,0,0.00025714285714285715,0.00031714285714285715;10,81000,81000,11,660,38653.0,28279.0,0,0.00022222222222222223,0.00027407407407407404;9,84000,84000,12,824,41653.0,29121.0,0,0.00021428571428571427,0.0002642857142857143;8,90720,90720,13,8474,48373.0,41712.0,0,0.0001984126984126984,0.0002447089947089947;7,126000,126000,14,2538,83653.0,49744.0,0,0.00014285714285714287,0.0001761904761904762;6,131250,131250,15,2046,88903.0,51859.0,0,0.00013714285714285713,0.00016914285714285713;5,140000,140000,16,6998,97653.0,80949.0,0,0.00012857142857142858,0.00015857142857142857;4,151200,151200,17,10836,108853.0,112052.0,0,0.00011904761904761905,0.00014682539682539682;3,157500,157500,18,5820,115153.0,124919.0,0,0.00011428571428571428,0.00014095238095238096;2,175000,175000,19,1951,132653.0,221347.0,1,0.00010285714285714286,0.00012685714285714286;1,708750,708750,20,12418,251171.0,251171.0,0,2.5396825396825397e-05,3.1322751322751324e-05
0.9;345863.0;345863.0;0;1;1;113400000;20,10000,10000,1,388,406.0,406.0,0,0.0018,0.0022199999999999998;19,20000,20000,2,2801,3225.0,3225.0,0,0.0009,0.0011099999999999999;18,25200,25200,3,118,3361.0,3361.0,0,0.0007142857142857143,0.0008809523809523809;17,35000,35000,4,850,4229.0,4229.0,0,0.0005142857142857143,0.0006342857142857143;16,45000,45000,5,1122,5548.0,5369.0,0,0.0004,0.0004933333333333334;15,47250,47250,6,2411,7798.0,7798.0,0,0.00038095238095238096,0.0004698412698412698;14,52500,52500,7,67,7883.0,7883.0,0,0.00034285714285714285,0.00042285714285714284;13,63000,63000,8,2527,10834.0,10834.0,0,0.00028571428571428574,0.0003523809523809524;12,70875,70875,9,5889,17873.0,16741.0,0,0.00025396825396825396,0.00031322751322751324;11,78750,78750,10,3105,25748.0,19864.0,0,0.00022857142857142857,0.0002819047619047619;10,87500,87500,11,754,34498.0,23861.0,0,0.00020571428571428572,0.0002537142857142857;9,100800,100800,12,2498,47798.0,26513.0,0,0.00017857142857142857,0.00022023809523809523;8,112500,112500,13,2356,59498.0,28887.0,0,0.00016,0.00019733333333333332;7,118125,118125,14,8866,65123.0,39045.0,0,0.00015238095238095237,0.00018793650793650794;6,126000,126000,15,6475,72998.0,52959.0,0,0.00014285714285714287,0.0001761904761904762;5,135000,135000,16,380,81998.0,53357.0,0,0.00013333333333333334,0.00016444444444444444;4,141750,141750,17,19061,88748.0,94189.0,0,0.00012698412698412698,0.00015661375661375662;3,162000,162000,18,4484,103709.0,107950.0,0,0.00011111111111111112,0.00013703703703703702;2,196875,196875,19,2309,107761.0,110683.0,0,9.142857142857143e-05,0.00011276190476190476;1,450000,450000,20,35372,335762.0,345863.0,0,4e-05,4.933333333333333e-05
0.9;589311.0;589311.0;0;1;1;113400000;20,33750,33750,1,183,201.0,201.0,0,0.0005333333333333334,0.0006577777777777777;19,47250,47250,2,1325,1544.0,1544.0,0,0.00038095238095238096,0.0004698412698412698;18,52500,52500,3,2724,4286.0,4286.0,0,0.00034285714285714285,0.00042285714285714284;17,60000,60000,4,5210,9514.0,9514.0,0,0.0003,0.00037;16,67500,67500,5,2632,15661.0,12164.0,0,0.0002666666666666667,0.00032888888888888887;15,70875,70875,6,1324,19036.0,13506.0,0,0.00025396825396825396,0.00031322751322751324;14,84375,84375,7,2470,32536.0,15994.0,0,0.00021333333333333333,0.0002631111111111111;13,87500,87500,8,9049,35661.0,25061.0,0,0.00020571428571428572,0.0002537142857142857;12,90720,90720,9,6501,38881.0,31580.0,0,0.0001984126984126984,0.0002447089947089947;11,94500,94500,10,3836,42661.0,35635.0,0,0.00019047619047619048,0.0002349206349206349;10,100000,100000,11,8807,48161.0,44460.0,0,0.00018,0.000222;9,108000,108000,12,1962,56161.0,46440.0,0,0.00016666666666666666,0.00020555555555555556;8,113400,113400,13,9456,61561.0,59999.0,0,0.00015873015873015873,0.00019576719576719576;7,120000,120000,14,2715,68161.0,70811.0,0,0.00015,0.000185;6,135000,135000,15,349,71970.0,72520.0,0,0.00013333333333333334,0.00016444444444444444;5,162000,162000,16,7978,98970.0,80516.0,0,0.00011111111111111112,0.00013703703703703702;4,168000,168000,17,9108,104970.0,149999.0,0,0.00010714285714285714,0.00013214285714285715;3,181440,181440,18,4868,118410.0,154885.0,0,9.92063492063492e-05,0.00012235449735449735;2,506250,506250,19,9983,257543.0,257543.0,0,3.555555555555555e-05,4.385185185185185e-05;1,945000,945000,20,48400,538523.0,589311.0,0,1.9047619047619046e-05,2.3492063492063493e-05
0.9;502238.0;502238.0;0;1;1;113400000;20,18900,18900,1,106,124.0,124.0,0,0.0009523809523809524,0.0011746031746031746;19,30240,30240,2,2007,2149.0,2149.0,0,0.0005952380952380953,0.0007341269841269841;18,35000,35000,3,59,2226.0,2226.0,0,0.0005142857142857143,0.0006342857142857143;17,40000,40000,4,159,2403.0,2403.0,0,0.00045,0.0005549999999999999;16,45360,45360,5,867,3288.0,3288.0,0,0.0003968253968253968,0.0004894179894179894;15,56250,56250,6,1029,6535.0,4335.0,0,0.00032,0.00039466666666666665;14,56700,56700,7,2632,6985.0,6985.0,0,0.00031746031746031746,0.0003915343915343915;13,78750,78750,8,2403,13528.0,9406.0,0,0.00022857142857142857,0.0002819047619047619;12,87500,87500,9,4546,22278.0,13970.0,0,0.00020571428571428572,0.0002537142857142857;11,101250,101250,10,7268,36028.0,21380.0,0,0.00017777777777777779,0.00021925925925925924;10,105000,105000,11,1246,39778.0,22644.0,0,0.00017142857142857143,0.00021142857142857142;9,108000,108000,12,11677,42778.0,36441.0,0,0.00016666666666666666,0.00020555555555555556;8,112500,112500,13,9633,47278.0,47278.0,0,0.00016,0.00019733333333333332;7,129600,129600,14,3493,54190.0,50789.0,0,0.0001388888888888889,0.0001712962962962963;6,135000,135000,15,4576,59590.0,55383.0,0,0.00013333333333333334,0.00016444444444444444;5,140000,140000,16,3343,64590.0,64590.0,0,0.00012857142857142858,0.00015857142857142857;4,180000,180000,17,17215,101845.0,84622.0,0,0.0001,0.00012333333333333334;3,200000,200000,18,17525,121845.0,163058.0,0,9e-05,0.000111;2,700000,700000,19,43720,392238.0,384820.0,0,2.5714285714285714e-05,3.1714285714285715e-05;1,810000,810000,20,29357,502238.0,502238.0,0,2.2222222222222223e-05,2.7407407407407405e-05
0.9;351495.0;351495.0;0;1;0;113400000;20,18900,18900,1,498,516.0,516.0,0,0.0009523809523809524,0.0011746031746031746;19,22500,22500,2,466,1000.0,1000.0,0,0.0008,0.0009866666666666667;18,37800,37800,3,399,1417.0,1417.0,0,0.0004761904761904762,0.0005873015873015873;17,54000,54000,4,2397,8961.0,3832.0,0,0.0003333333333333333,0.0004111111111111111;16,63000,63000,5,6063,17961.0,9913.0,0,0.00028571428571428574,0.0003523809523809524;15,70875,70875,6,6431,25836.0,16362.0,0,0.00025396825396825396,0.00031322751322751324;14,78750,78750,7,5910,33711.0,23290.0,0,0.00022857142857142857,0.0002819047619047619;13,90000,90000,8,999,44961.0,24307.0,0,0.0002,0.0002466666666666667;12,100000,100000,9,2710,54961.0,27035.0,0,0.00018,0.000222;11,100800,100800,10,17577,55761.0,46047.0,0,0.00017857142857142857,0.00022023809523809523;10,101250,101250,11,3585,56211.0,49650.0,0,0.00017777777777777779,0.00021925925925925924;9,112500,112500,12,125,67461.0,49793.0,0,0.00016,0.00019733333333333332;8,118125,118125,13,46,73086.0,49857.0,0,0.00015238095238095237,0.00018793650793650794;7,129600,129600,14,9058,84561.0,61864.0,0,0.0001388888888888889,0.0001712962962962963;6,135000,135000,15,16000,89961.0,99774.0,0,0.00013333333333333334,0.00016444444444444444;5,141750,141750,16,3864,96711.0,182022.0,1,0.00012698412698412698,0.00015661375661375662;4,151200,151200,17,4177,100906.0,197113.0,1,0.00011904761904761905,0.00014682539682539682;3,162000,162000,18,585,107437.0,243253.0,1,0.00011111111111111112,0.00013703703703703702;2,200000,200000,19,3376,144187.0,248250.0,1,9e-05,0.000111;1,525000,525000,20,5837,351495.0,351495.0,0,3.4285714285714284e-05,4.228571428571428e-05
0.9;403977.0;403977.0;0;1;1;113400000;20,10000,10000,1,9,27.0,27.0,0,0.0018,0.0022199999999999998;19,22500,22500,2,788,833.0,833.0,0,0.0008,0.0009866666666666667;18,26250,26250,3,583,1434.0,1434.0,0,0.0006857142857142857,0.0008457142857142857;17,28350,28350,4,126,1578.0,1578.0,0,0.0006349206349206349,0.000783068783068783;16,42000,42000,5,4458,6054.0,6054.0,0,0.00042857142857142855,0.0005285714285714286;15,60480,60480,6,5414,13169.0,11513.0,0,0.00029761904761904765,0.00036706349206349205;14,64800,64800,7,837,17489.0,12368.0,0,0.0002777777777777778,0.0003425925925925926;13,65625,65625,8,3732,18314.0,16118.0,0,0.00027428571428571427,0.00033828571428571425;12,70000,70000,9,2990,22689.0,19126.0,0,0.00025714285714285715,0.00031714285714285715;11,70875,70875,10,3587,23564.0,23564.0,0,0.00025396825396825396,0.00031322751322751324;10,84000,84000,11,7371,36379.0,31725.0,0,0.00021428571428571427,0.0002642857142857143;9,90720,90720,12,781,43099.0,32524.0,0,0.0001984126984126984,0.0002447089947089947;8,105000,105000,13,4148,57379.0,36690.0,0,0.00017142857142857143,0.00021142857142857142;7,120000,120000,14,18390,72379.0,78689.0,0,0.00015,0.000185;6,126000,126000,15,800,78379.0,80135.0,0,0.00014285714285714287,0.0001761904761904762;5,129600,129600,16,249,81979.0,80402.0,0,0.0001388888888888889,0.0001712962962962963;4,135000,135000,17,8256,87379.0,102344.0,0,0.00013333333333333334,0.00016444444444444444;3,175000,175000,18,8076,110267.0,116182.0,0,0.00010285714285714286,0.00012685714285714286;2,600000,600000,19,16475,328977.0,234952.0,0,3e-05,3.7e-05;1,675000,675000,20,20698,403977.0,403977.0,0,2.6666666666666667e-05,3.288888888888889e-05
0.9;330341.0;330341.0;0;1;0;113400000;20,15750,15750,1,1137,1155.0,1155.0,0,0.001142857142857143,0.0014095238095238095;19,20000,20000,2,1443,2616.0,2616.0,0,0.0009,0.0011099999999999999;18,28350,28350,3,1180,3814.0,3814.0,0,0.0006349206349206349,0.000783068783068783;17,35000,35000,4,1429,5261.0,5261.0,0,0.0005142857142857143,0.0006342857142857143;16,42000,42000,5,2811,8090.0,8090.0,0,0.00042857142857142855,0.0005285714285714286;15,45360,45360,6,117,8225.0,8225.0,0,0.0003968253968253968,0.0004894179894179894;14,52500,52500,7,1591,9834.0,9834.0,0,0.00034285714285714285,0.00042285714285714284;13,64800,64800,8,5715,15567.0,15567.0,0,0.0002777777777777778,0.0003425925925925926;12,84375,84375,9,3932,33789.0,22133.0,0,0.00021333333333333333,0.0002631111111111111;11,118125,118125,10,1963,67539.0,24114.0,0,0.00015238095238095237,0.00018793650793650794;10,126000,126000,11,2333,75414.0,26465.0,0,0.00014285714285714287,0.0001761904761904762;9,129600,129600,12,208,79014.0,26691.0,0,0.0001388888888888889,0.0001712962962962963;8,131250,131250,13,8734,80664.0,39243.0,0,0.00013714285714285713,0.00016914285714285713;7,135000,135000,14,5396,84414.0,50237.0,0,0.00013333333333333334,0.00016444444444444444;6,140000,140000,15,1450,89414.0,51705.0,0,0.00012857142857142858,0.00015857142857142857;5,141750,141750,16,6602,91164.0,62593.0,0,0.00012698412698412698,0.00015661375661375662;4,168000,168000,17,9983,117414.0,83545.0,0,0.00010714285714285714,0.00013214285714285715;3,180000,180000,18,16322,129414.0,116022.0,0,0.0001,0.00012333333333333334;2,181440,181440,19,9369,130854.0,232072.0,1,9.92063492063492e-05,0.00012235449735449735;1,675000,675000,20,15320,330341.0,330341.0,0,2.6666666666666667e-05,3.288888888888889e-05
0.9;434044.0;434044.0;0;1;1;113400000;20,18900,18900,1,562,580.0,580.0,0,0.0009523809523809524,0.0011746031746031746;19,20000,20000,2,202,800.0,800.0,0,0.0009,0.0011099999999999999;18,28350,28350,3,307,1125.0,1125.0,0,0.0006349206349206349,0.000783068783068783;17,37800,37800,4,877,2020.0,2020.0,0,0.0004761904761904762,0.0005873015873015873;16,50400,50400,5,4133,12077.0,6171.0,0,0.00035714285714285714,0.00044047619047619046;15,60000,60000,6,3589,21677.0,9778.0,0,0.0003,0.00037;14,63000,63000,7,14081,24677.0,24677.0,0,0.00028571428571428574,0.0003523809523809524;13,70875,70875,8,5076,30096.0,30096.0,0,0.00025396825396825396,0.00031322751322751324;12,84000,84000,9,2806,38423.0,32920.0,0,0.00021428571428571427,0.0002642857142857143;11,90720,90720,10,5885,45143.0,40518.0,0,0.0001984126984126984,0.0002447089947089947;10,100000,100000,11,9930,54423.0,54617.0,0,0.00018,0.000222;9,101250,101250,12,1038,55673.0,55673.0,0,0.00017777777777777779,0.00021925925925925924;8,112500,112500,13,531,61506.0,56222.0,0,0.00016,0.00019733333333333332;7,113400,113400,14,287,62406.0,56527.0,0,0.00015873015873015873,0.00019576719576719576;6,129600,129600,15,2517,78606.0,59967.0,0,0.0001388888888888889,0.0001712962962962963;5,131250,131250,16,650,80256.0,88499.0,0,0.00013714285714285713,0.00016914285714285713;4,181440,181440,17,7552,106923.0,124408.0,0,9.92063492063492e-05,0.00012235449735449735;3,196875,196875,18,594,118541.0,125020.0,0,9.142857142857143e-05,0.00011276190476190476;2,472500,472500,19,2787,276544.0,156972.0,0,3.809523809523809e-05,4.6984126984126986e-05;1,630000,630000,20,54282,434044.0,434044.0,0,2.857142857142857e-05,3.523809523809524e-05
