timeStamp;mode;totalTasks;short;mid;long;feasibilityEDF;maxLoadEDF;iterEDF;feasibilityFPS;iterFPS
2019-04-12_12:31:08.791758;i;62;21;21;20;false;1.0103358078485167;2171;false;554
numTask;DeadlineMiss;Executions
1;7;7
2;7;7
3;6;6
4;6;6
5;6;6
6;5;5
7;4;4
8;4;4
9;4;4
10;4;3
11;3;3
12;3;3
13;3;3
14;3;3
15;3;3
16;2;2
17;2;2
18;2;2
19;1;1
20;1;1
21;1;1
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
1;13;13
2;13;13
3;12;11
4;11;11
5;11;11
6;11;11
7;9;9
8;7;7
9;7;7
10;7;7
11;6;6
12;6;6
13;6;6
14;6;6
15;5;5
16;5;5
17;5;5
18;4;4
19;3;3
20;3;3
21;3;3
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
1;16;16
2;16;16
3;14;14
4;14;14
5;14;14
6;13;13
7;10;10
8;9;9
9;9;9
10;9;9
11;8;8
12;8;8
13;7;7
14;7;7
15;6;6
16;6;6
17;6;6
18;5;5
19;4;4
20;4;4
21;4;4
22;1;1
23;1;1
24;1;1
25;1;1
26;1;1
27;1;1
28;1;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
1;22;22
2;22;22
3;19;19
4;19;18
5;18;18
6;17;17
7;14;14
8;12;12
9;12;12
10;12;12
11;11;11
12;10;10
13;10;10
14;9;9
15;9;9
16;9;9
17;8;8
18;7;7
19;5;5
20;5;5
21;5;5
22;1;1
23;1;1
24;1;1
25;1;1
26;1;1
27;1;1
28;1;1
29;1;1
30;1;1
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
