timeStamp;mode;totalTasks;short;mid;long;feasibilityEDF;maxLoadEDF;iterEDF;feasibilityFPS;iterFPS
2019-04-12_12:33:22.544130;i;62;20;22;20;false;1.000166384977378;95729;true;64926
numTask;DeadlineMiss;Executions
1;8;7
2;7;7
3;7;7
4;7;7
5;6;6
6;6;6
7;5;5
8;5;5
9;4;4
10;4;4
11;3;3
12;3;3
13;3;3
14;2;2
15;2;2
16;2;2
17;2;2
18;2;2
19;2;2
20;2;2
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
1;14;14
2;13;13
3;12;12
4;12;12
5;11;11
6;11;11
7;9;9
8;9;9
9;8;8
10;7;7
11;6;6
12;6;6
13;5;5
14;4;4
15;4;4
16;4;4
17;4;4
18;3;3
19;3;3
20;3;3
21;1;1
22;1;1
23;1;1
24;1;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
1;18;18
2;17;16
3;16;16
4;16;16
5;14;14
6;14;14
7;12;12
8;12;12
9;11;11
10;9;9
11;7;7
12;7;7
13;7;7
14;6;6
15;6;6
16;5;5
17;5;5
18;5;5
19;5;5
20;5;5
21;1;1
22;1;1
23;1;1
24;1;1
25;1;1
26;1;1
27;1;1
28;1;1
29;1;1
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
1;23;23
2;21;21
3;21;21
4;21;21
5;18;18
6;18;18
7;16;16
8;15;15
9;14;14
10;12;12
11;10;9
12;9;9
13;8;8
14;8;8
15;7;7
16;7;7
17;7;7
18;6;6
19;6;6
20;6;6
21;1;1
22;1;1
23;1;1
24;1;1
25;1;1
26;1;1
27;1;1
28;1;1
29;1;1
30;1;1
31;1;1
32;1;1
33;1;1
34;1;1
35;1;1
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
1;28;28
2;25;25
3;25;25
4;25;25
5;22;22
6;21;21
7;19;19
8;18;18
9;16;16
10;14;14
11;11;11
12;11;11
13;10;10
14;9;9
15;9;9
16;8;8
17;8;8
18;7;7
19;7;7
20;7;7
21;2;2
22;2;2
23;2;2
24;1;1
25;1;1
26;1;1
27;1;1
28;1;1
29;1;1
30;1;1
31;1;1
32;1;1
33;1;1
34;1;1
35;1;1
36;1;1
37;1;1
38;1;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
1;33;33
2;30;30
3;29;29
4;29;29
5;26;26
6;25;25
7;22;22
8;22;22
9;20;20
10;17;17
11;14;14
12;14;13
13;12;12
14;11;11
15;11;11
16;10;10
17;9;9
18;9;9
19;8;8
20;8;8
21;2;2
22;2;2
23;2;2
24;2;2
25;2;2
26;2;2
27;1;1
28;1;1
29;1;1
30;1;1
31;1;1
32;1;1
33;1;1
34;1;1
35;1;1
36;1;1
37;1;1
38;1;1
39;1;1
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
1;38;37
2;34;34
3;33;33
4;33;33
5;30;30
6;29;29
7;25;25
8;25;25
9;22;22
10;20;20
11;16;16
12;15;15
13;14;14
14;12;12
15;12;12
16;11;11
17;11;11
18;10;10
19;10;10
20;10;10
21;2;2
22;2;2
23;2;2
24;2;2
25;2;2
26;2;2
27;2;2
28;2;2
29;2;2
30;1;1
31;1;1
32;1;1
33;1;1
34;1;1
35;1;1
36;1;1
37;1;1
38;1;1
39;1;1
40;1;1
41;1;1
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
