timeStamp;mode;totalTasks;short;mid;long;feasibilityEDF;maxLoadEDF;iterEDF;feasibilityFPS;iterFPS
2019-04-26_17:50:51.709450;i;61;20;21;20;true;1;1;false;2
numTask;DeadlineMiss;Executions
1;145438;145463
2;130893;130917
3;128221;128245
4;126638;126662
5;120208;120230
6;106850;106871
7;106377;106396
8;88647;88663
9;82061;82077
10;62053;62064
11;59838;59848
12;56096;56107
13;55404;55414
14;51289;51298
15;44678;44686
16;43082;43090
17;38783;38790
18;26926;26931
19;26712;26717
20;24932;24936
21;24619;24623
22;24042;24046
23;23270;23274
24;19946;19949
25;7915;7916
26;7757;7758
27;7598;7599
28;7123;7124
29;6981;6982
30;6925;6926
31;6332;6333
32;6233;6234
33;5817;5818
34;5584;5585
35;5541;5541
36;5471;5471
37;5235;5236
38;5066;5066
39;4987;4987
40;4654;4654
41;4488;4488
42;3590;3590
43;3491;3491
44;3324;3324
45;3206;3206
46;3191;3191
47;3166;3166
48;3103;3103
49;3077;3077
50;2992;2992
51;2909;2909
52;2849;2849
53;2792;2792
54;2770;2770
55;2735;2735
56;2693;2693
57;2671;2671
58;2659;2659
59;2533;2533
60;2374;2374
61;2327;2327
