ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;18;13000;13000;487;0;77;0;0;0;77;0;0.03746153846153846;0.003092307692307692
2;17;17000;17000;2016;0;59;10;0;0;59;10;0.11858823529411765;0.002364705882352941
3;16;20000;20000;851;0;50;0;0;0;50;0;0.04255;0.0020099999999999996
4;15;22000;22000;1205;0;46;8;0;0;46;8;0.05477272727272727;0.0018272727272727273
5;14;23000;23000;731;0;44;2;1;0;44;1;0.03178260869565217;0.0017478260869565217
6;13;24000;24000;1474;0;42;9;3;0;42;6;0.06141666666666667;0.0016749999999999998
7;12;26000;26000;1566;0;39;20;5;0;39;15;0.060230769230769234;0.001546153846153846
8;11;37000;37000;1406;0;27;8;1;0;27;7;0.038;0.0010864864864864863
9;10;39000;39000;1590;0;26;11;-1;0;26;12;0.040769230769230766;0.0010307692307692307
10;9;42000;42000;18;0;24;0;0;0;24;0;0.00042857142857142855;0.0009571428571428571
11;8;52000;52000;230;0;20;1;0;0;20;1;0.004423076923076923;0.000773076923076923
12;7;60000;60000;2214;0;17;9;-3;0;17;12;0.0369;0.00067
13;6;63000;63000;3409;0;16;18;-2;0;16;20;0.05411111111111111;0.0006380952380952382
14;5;65000;65000;3667;0;16;15;-7;0;16;22;0.05641538461538462;0.0006184615384615384
15;4;70000;70000;254;0;15;2;2;0;15;0;0.0036285714285714285;0.0005742857142857142
16;3;76000;76000;9123;0;13;58;1;0;13;57;0.12003947368421053;0.0005289473684210527
17;2;81000;81000;2168;0;13;11;1;0;13;10;0.026765432098765432;0.0004962962962962963
18;1;84000;84000;7505;1;12;48;14;0;12;34;0.08934523809523809;0.00047857142857142857
;;1000000;;;;;230;;;;215;0.8776286357756319;0.022115399316650495;0.8997440350922824
;;;;;;;0.06521739130434782;;;;;
