ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;37000;37000;1840;0;27;1;0;0;27;1;0.04972972972972973;0.0010864864864864863
2;9;43000;43000;233;0;24;0;0;0;24;0;0.005418604651162791;0.0009348837209302325
3;8;47000;47000;4274;0;22;4;0;0;22;4;0.09093617021276595;0.0008553191489361703
4;7;53000;53000;1919;0;19;1;0;0;19;1;0.03620754716981132;0.0007584905660377359
5;6;66000;66000;2198;0;16;4;2;0;15;2;0.0333030303030303;0.0006090909090909092
6;5;69000;69000;8967;0;15;12;3;0;15;9;0.12995652173913044;0.0005826086956521739
7;4;74000;74000;5240;0;14;8;1;0;14;7;0.07081081081081081;0.0005432432432432432
8;3;86000;86000;2145;0;12;4;3;0;12;1;0.02494186046511628;0.00046744186046511623
9;2;96000;96000;40876;1;10;56;9;0;10;47;0.4257916666666667;0.00041874999999999996
10;1;98000;98000;2564;1;10;3;3;0;10;0;0.02616326530612245;0.00041020408163265306
;;1000000;;;;;93;;;;72;0.8932592070543467;0.0066665187124747205;0.8999257257668214
;;;;;;;0.22580645161290322;;;;;
