ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;23000;23000;2004;0;44;0;0;0;44;0;0.08713043478260869;0.0017478260869565217
2;9;25000;25000;1840;0;40;2;0;0;40;2;0.0736;0.001608
3;8;26000;26000;184;0;39;0;0;0;39;0;0.007076923076923077;0.001546153846153846
4;7;26000;26000;201;0;39;0;0;0;39;0;0.007730769230769231;0.001546153846153846
5;6;27000;27000;3806;0;37;11;4;0;37;7;0.14096296296296296;0.001488888888888889
6;5;34000;34000;7715;0;30;31;6;0;30;25;0.22691176470588234;0.0011823529411764705
7;4;54000;54000;10124;0;19;38;3;0;19;35;0.18748148148148147;0.0007444444444444445
8;3;56000;56000;1592;0;18;8;1;0;18;7;0.028428571428571428;0.0007178571428571428
9;2;65000;65000;3797;0;15;9;1;0;15;8;0.05841538461538461;0.0006184615384615384
10;1;66000;66000;4643;1;15;19;3;0;15;16;0.07034848484848485;0.0006090909090909092
;;1000000;;;;;118;;;;100;0.8880867771330687;0.01180922964418361;0.8998960067772523
;;;;;;;0.15254237288135594;;;;;
