ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;11000;11000;779;0;91;0;0;0;91;0;0.07081818181818182;0.0036545454545454546
2;9;15000;15000;13;0;67;0;0;0;67;0;0.0008666666666666666;0.00268
3;8;18000;18000;408;0;56;0;0;0;56;0;0.02266666666666667;0.0022333333333333333
4;7;19000;19000;926;0;53;1;-4;0;53;5;0.048736842105263155;0.0021157894736842106
5;6;19000;19000;582;0;53;9;5;0;53;4;0.03063157894736842;0.0021157894736842106
6;5;31000;31000;683;0;33;1;-6;0;33;7;0.022032258064516128;0.001296774193548387
7;4;31000;31000;4498;0;33;44;6;0;33;38;0.14509677419354838;0.001296774193548387
8;3;33000;33000;900;0;31;6;1;0;31;5;0.02727272727272727;0.0012181818181818183
9;2;39000;39000;1167;0;26;2;0;0;26;2;0.029923076923076924;0.0010307692307692307
10;1;91000;91000;12159;0;11;45;0;0;11;45;0.1336153846153846;0.0004417582417582418
;;1000000;;;;;108;;;;106;0.5316601572734001;0.018083715413053272;0.5497438726864534
;;;;;;;0.018518518518518517;;;;;
