ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;10;15000;15000;306;0;67;0;0;0;67;0;0.0204;0.00268
2;9;31000;31000;307;0;33;0;0;0;33;0;0.009903225806451614;0.001296774193548387
3;8;39000;39000;208;0;26;0;0;0;26;0;0.005333333333333333;0.0010307692307692307
4;7;44000;44000;1210;0;23;3;0;0;23;3;0.0275;0.0009136363636363636
5;6;72000;72000;6038;0;14;13;0;0;14;13;0.08386111111111111;0.0005583333333333333
6;5;78000;78000;7796;0;13;8;1;0;13;7;0.09994871794871794;0.0005153846153846154
7;4;79000;79000;1945;0;13;4;-1;0;13;5;0.024620253164556963;0.0005088607594936708
8;3;82000;82000;12275;0;13;23;1;0;13;22;0.1496951219512195;0.0004902439024390243
9;2;86000;86000;7626;0;12;17;2;0;12;15;0.08867441860465117;0.00046744186046511623
10;1;88000;88000;2732;0;12;3;0;0;12;3;0.031045454545454546;0.0004568181818181818
;;1000000;;;;;71;;;;68;0.5409816364654962;0.008918262440887925;0.5498998989063841
;;;;;;;0.04225352112676056;;;;;
