ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;20;12000;12000;303;0;84;0;0;0;84;0;0.02525;0.0033499999999999997
2;19;18000;18000;924;0;56;0;0;0;56;0;0.051333333333333335;0.0022333333333333333
3;18;23000;23000;3812;0;44;16;0;0;44;16;0.1657391304347826;0.0017478260869565217
4;17;29000;29000;670;0;35;1;0;0;35;1;0.023103448275862068;0.001386206896551724
5;16;45000;45000;447;0;23;0;0;0;23;0;0.009933333333333334;0.0008933333333333334
6;15;46000;46000;2306;0;22;10;0;0;22;10;0.050130434782608695;0.0008739130434782608
7;14;56000;56000;60;0;18;0;0;0;18;0;0.0010714285714285715;0.0007178571428571428
8;13;58000;58000;853;0;18;1;-1;0;18;2;0.014706896551724137;0.000693103448275862
9;12;64000;64000;9337;0;16;26;-2;0;16;28;0.145890625;0.000628125
10;11;69000;69000;310;0;15;2;0;0;15;2;0.004492753623188406;0.0005826086956521739
11;10;71000;71000;1987;0;15;4;-2;0;15;6;0.027985915492957748;0.0005661971830985916
12;9;72000;72000;339;0;14;0;0;0;14;0;0.0047083333333333335;0.0005583333333333333
13;8;72000;72000;5621;0;14;18;-2;0;14;20;0.07806944444444444;0.0005583333333333333
14;7;79000;79000;2561;0;13;8;2;0;13;6;0.03241772151898734;0.0005088607594936708
15;6;81000;81000;21;0;13;0;0;0;13;0;0.00025925925925925926;0.0004962962962962963
16;5;81000;81000;4872;0;13;15;-1;0;13;16;0.060148148148148145;0.0004962962962962963
17;4;94000;94000;2828;0;11;12;1;0;11;11;0.030085106382978722;0.00042765957446808513
18;3;95000;95000;1664;0;11;5;-1;0;11;6;0.01751578947368421;0.0004231578947368421
19;2;100000;100000;4758;0;10;18;7;0;10;11;0.04758;0.000402
20;1;100000;100000;9143;1;10;34;4;0;10;30;0.09143;0.000402
;;1000000;;;;;170;;;;165;0.8818511019600543;0.017945441651494795;0.8997965436115491
;;;;;;;0.029411764705882353;;;;;
