Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;12150;12150;0;113;0;78400;0
0;13230;13230;0;237;0;72000;0
0;14112;14112;0;5;0;67500;0
0;26250;26250;0;186;0;36288;0
0;39375;39375;0;253;0;24192;0
0;48000;48000;0;1398;0;19845;4767
0;55125;55125;0;1313;0;17280;1916
0;61250;61250;0;433;0;15552;276
0;70875;70875;0;1024;0;13440;2651
0;79380;79380;0;7364;0;12000;21466
0;190512;190512;0;13315;0;5000;20682
0;211680;211680;0;12087;0;4500;15230
0;226800;226800;0;4032;0;4200;4817
0;243000;243000;0;2462;0;3920;2457
0;254016;254016;0;22380;0;3750;28127
0;272160;272160;0;14380;0;3500;17333
0;294000;294000;0;24501;0;3240;27767
0;302400;302400;0;16072;0;3150;17856
0;303750;303750;0;2710;0;3136;2838
0;317520;317520;0;3988;0;3000;4175
0;432000;432000;0;31997;0;2205;25722
0;441000;441000;0;5102;0;2160;3986
0;470400;470400;0;1851;0;2025;1232
0;472500;472500;0;21386;0;2016;16072
0;504000;504000;0;1010;0;1890;684
0;540000;540000;0;6613;0;1764;4416
0;560000;560000;0;47953;1702;1701;31049
0;567000;567000;0;2422;1681;1680;1503
0;635040;635040;0;24851;1501;1500;14532
0;661500;661500;0;21005;1441;1440;11949
hyperperiod;952560000
