ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;19000;19000;1331;0;48;0;0;0;48;0;0.07005263157894737;0.0021157894736842106;;239910;239919;177034;192650;239910;239911;240032;175016;561915;239919
2;19;19000;19000;1605;0;48;0;0;0;48;0;0.08447368421052631;0.0021157894736842106;;289346;289352;424904;440443;289346;289228;289349;175016;504862;289300
3;18;19000;19000;342;0;48;0;0;0;48;0;0.018;0.0021157894736842106;;61763;61763;722206;737103;61763;61771;61907;175539;732508;61780
4;17;76000;76000;81;0;12;0;0;0;12;0;0.0010657894736842105;0.0005289473684210527;;14775;14775;799963;806173;14775;14783;14783;801791;9113670;14783
5;16;76000;76000;1048;0;12;0;0;0;12;0;0.013789473684210527;0.0005289473684210527;;188979;188981;822803;828363;188979;188980;188982;824756;8916495;188980
6;15;76000;76000;2035;0;12;0;0;0;12;0;0.026776315789473683;0.0005289473684210527;;366747;366749;1019880;1025358;366747;366748;366751;1021909;8541572;366748
7;14;76000;76000;5962;0;12;0;-6;0;12;6;0.07844736842105263;0.0005289473684210527;;1074076;1074079;1394711;1400214;1074076;1074076;1695499;1396847;6837823;1384775
8;13;76000;76000;2417;0;12;0;0;0;12;0;0.03180263157894737;0.0005289473684210527;;435629;435631;2476885;2482377;435629;435513;435633;2479092;6393998;435579
9;12;76000;76000;5036;0;12;12;6;0;12;6;0.06626315789473684;0.0005289473684210527;;1529093;1529172;2920639;2926136;1529108;907291;1528746;2922915;5478714;1218001
10;11;76000;76000;3708;0;12;0;0;0;12;0;0.04878947368421053;0.0005289473684210527;;668135;668139;4457879;4463409;668136;668137;668141;4459863;4803039;668137
11;10;76000;76000;8543;0;12;0;-6;0;12;6;0.11240789473684211;0.0005289473684210527;;1539020;1539024;5134146;5139651;1539020;1539022;2160557;2627925;5141804;1849738
12;9;76000;76000;10093;0;12;12;6;0;12;6;0.13280263157894737;0.0005289473684210527;;2439926;2439975;6681261;6686759;2439933;1818126;2439555;801605;6689018;2128829
13;8;228000;228000;3671;0;4;0;0;0;4;0;0.016100877192982456;0.0001763157894736842;;661472;661474;9129706;9134878;661472;661473;661475;9136156;11444807;661473
14;7;228000;228000;3733;0;4;4;0;0;4;4;0.01637280701754386;0.0001763157894736842;;1293834;1293920;9799107;9804961;1293865;1293626;1293686;9806326;10142343;1293654
15;6;228000;228000;5534;0;4;0;0;0;4;0;0.024271929824561403;0.0001763157894736842;;997050;997052;11101048;11107475;997050;997049;997052;9132847;11109370;997050
16;5;912000;912000;19757;0;1;2;0;0;1;2;0.021663377192982457;4.407894736842105e-05;;13139031;13139031;12106027;12106027;13139031;13141837;13141837;94880137;94880137;13141837
17;4;912000;912000;60148;0;1;5;-1;0;1;6;0.06595175438596491;4.407894736842105e-05;;41935651;41935651;25253215;25253215;41935651;53890730;53890730;40981140;40981140;53890730
18;3;912000;912000;13633;0;1;1;1;0;1;0;0.014948464912280702;4.407894736842105e-05;;11414536;11414536;67197024;67197024;11414536;2455692;2455692;38517257;38517257;2455692
19;2;912000;912000;19145;0;1;2;0;0;1;2;0.02099232456140351;4.407894736842105e-05;;16011447;16011447;78619716;78619716;16011447;13031443;13031443;25477404;25477404;13031443
20;1;912000;912000;20966;0;1;2;0;0;1;2;0.0229890350877193;4.407894736842105e-05;;13356730;13356730;94639323;94639323;13356730;13359981;13359981;12109174;12109174;13359981
;;912000;;;;;40;;;;40;0.8879616228070176;0.011857236842105262;0.8998188596491229
;;;;;;;0.0;;;;;
