ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;60000;60000;1813;0;1680;0;0;0;1680;0;0.030216666666666666;0.00067;;326677;326686;176225;196551;326677;326678;326801;174216;424304;326678
2;19;60000;60000;1211;0;1680;0;0;0;1680;0;0.020183333333333334;0.00067;;218313;218445;510884;531893;218436;218320;218443;174216;532793;218320
3;18;84000;84000;15059;0;1200;240;0;0;1200;240;0.17927380952380953;0.00047857142857142857;;2712603;3289917;175571;758198;2826362;2712606;3292287;173511;759182;2826339
4;17;96000;96000;9382;0;1050;90;30;0;1050;60;0.09772916666666667;0.00041874999999999996;;1690029;4415703;175571;3478857;1800054;1690031;2260147;173511;3479926;1722292
5;16;168000;168000;3860;0;600;0;0;0;600;0;0.022976190476190476;0.00023928571428571429;;695488;695493;2897722;5176997;695488;695352;695494;2895793;5931761;695485
6;15;168000;168000;4136;0;600;60;0;0;600;60;0.02461904761904762;0.00023928571428571429;;745162;2449834;3601345;5880655;915369;745163;2449783;2895812;5178152;915339
7;14;180000;180000;2756;0;560;0;0;0;560;0;0.01531111111111111;0.00022333333333333336;;496542;496662;738091;6633964;496542;496521;496663;736204;6635440;496539
8;13;192000;192000;8090;0;525;135;0;0;525;135;0.04213541666666667;0.00020937499999999998;;1457353;5257742;1874425;7138916;1915743;1457354;4752391;1872406;7140493;1881995
9;12;240000;240000;5818;0;420;15;0;0;420;15;0.02424166666666667;0.0001675;;1048049;5233469;738214;8604656;1197475;1048050;5233475;736358;8606300;1197472
10;11;300000;300000;6960;0;336;34;-1;0;336;35;0.0232;0.000134;;1253696;8608556;738094;9657454;1614481;1253695;8608138;736230;9848271;1616140
11;10;420000;420000;20865;0;240;129;-1;0;240;130;0.049678571428571426;9.571428571428571e-05;;3758267;9264894;3459643;10912657;4716980;3758267;9264889;3457977;23053675;4711166
12;9;504000;504000;1942;0;200;58;14;0;200;44;0.003853174603174603;7.976190476190477e-05;;349878;6405947;4355628;15257192;1066257;349881;6407470;4353957;41305020;885520
13;8;576000;576000;35462;0;175;261;-19;0;175;280;0.06156597222222222;6.979166666666666e-05;;6387596;22721408;3341059;20044317;11095471;6387461;24126055;3339124;46678684;11429331
14;7;672000;672000;29230;0;150;134;-41;0;150;175;0.04349702380952381;5.982142857142857e-05;;5265004;26201025;6054947;27008159;8312198;5264994;25338108;6053408;58389380;8864361
15;6;840000;840000;11181;0;120;54;-9;0;120;63;0.013310714285714285;4.7857142857142856e-05;;2014081;17760793;8688212;40709839;3064240;2014064;20165674;8687195;79738682;3331358
16;5;840000;840000;10320;0;120;85;18;0;120;67;0.012285714285714285;4.7857142857142856e-05;;1858992;17039212;10711249;42732628;4151050;1858993;21789482;10710312;81761504;3534872
17;4;900000;900000;77759;0;112;469;2;0;112;467;0.08639888888888889;4.4666666666666664e-05;;19001487;67772515;2507267;48933808;35676838;19000367;60091040;2505713;79613496;34111743
18;3;960000;960000;35627;0;105;211;-1;0;105;212;0.03711145833333333;4.1875e-05;;6417297;66490656;4963465;74908313;18310801;6417298;35616264;4962538;117017679;14492201
19;2;960000;960000;94922;0;105;641;30;0;105;611;0.09887708333333334;4.1875e-05;;25198946;108488725;12522652;96274982;64201198;28972758;67369108;6606955;83604762;43321689
20;1;960000;960000;9078;0;105;47;8;0;105;39;0.00945625;4.1875e-05;;1635308;59794696;43050191;148894337;6174378;1635290;20302655;4962667;111580860;3365297
;;100800000;;;;;2663;;;;2633;0.8959212599206348;0.0040211964285714295;0.8999424563492062
;;;;;;;0.011265490048817123;;;;;
