ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;10000;10000;641;0;11343;0;-8530;9194;11339;8530;0.0641;0.005663;;115572;115574;175821;196528;115572;115542;129416;173989;7144165;115542
2;19;15750;15750;779;0;7202;0;-5962;5952;7200;5962;0.04946031746031746;0.003595555555555556;;140426;145803;40821;320659;140426;140426;275614;38989;8142705;140427
3;18;28350;28350;1852;0;4002;480;-2925;3365;4000;3405;0.06532627865961199;0.0019975308641975308;;333698;469037;4821;469218;348624;333679;618242;68691;10068142;334889
4;17;30240;30240;1091;0;3751;679;-2457;3120;3750;3136;0.03607804232804233;0.0018726851851851853;;196712;672902;5930;811066;223171;196693;481819;60505;10202657;196716
5;16;35000;35000;2321;0;3241;1160;-1667;2792;3240;2827;0.06631428571428571;0.0016179999999999999;;418237;1253780;175821;1015911;504741;418218;918159;174049;10632190;420026
6;15;39375;39375;2121;0;2881;1310;-1182;2461;2880;2492;0.05386666666666667;0.0014382222222222222;;382224;1648217;18331;1442436;461171;382212;863651;196768;11028235;383982
7;14;40000;40000;4557;0;2836;2636;106;2472;2835;2530;0.113925;0.00141575;;820948;2488533;300094;1832890;1147676;820927;1452736;589852;10318416;825323
8;13;47250;47250;2444;0;2401;1222;-860;2056;2400;2082;0.05172486772486772;0.0011985185185185185;;440364;3061228;190639;2790715;640898;440352;920801;1633810;11900483;442114
9;12;54000;54000;4600;0;2101;2965;942;1986;2100;2023;0.08518518518518518;0.0010487037037037038;;828681;3905602;175825;3396129;1491642;828663;1310173;3380006;12713370;831842
10;11;56700;56700;156;0;2001;135;-1401;1532;2000;1536;0.0027513227513227515;0.0009987654320987654;;28273;2541081;356732;4361984;69553;28277;156397;4344796;13021024;28277
11;10;60000;60000;1153;0;1891;470;-951;1412;1890;1421;0.019216666666666667;0.0009438333333333334;;207873;2354594;300168;4411777;330839;207862;489397;4380922;13611183;208531
12;9;67500;67500;5197;0;1680;2710;1168;1493;1680;1542;0.0769925925925926;0.000838962962962963;;936257;4812946;85827;4616496;1868499;936237;1770336;4596714;14721370;942484
13;8;70000;70000;172;0;1620;169;-863;1030;1620;1032;0.002457142857142857;0.0008089999999999999;;31163;4682090;727905;6395987;85583;31167;160558;6375069;15799603;31171
14;7;75000;75000;127;0;1512;63;-1028;1088;1512;1091;0.0016933333333333334;0.0007550666666666667;;23054;1999860;175827;6430638;39844;23058;157655;6414272;17188078;23062
15;6;75600;75600;1560;0;1500;664;-511;1156;1500;1175;0.020634920634920634;0.0007490740740740741;;281128;4868155;32401;6467416;605682;281115;712505;6445443;16777780;283451
16;5;78750;78750;2024;0;1440;1037;70;955;1440;967;0.0257015873015873;0.0007191111111111111;;364755;5366471;672359;7189022;963504;364753;729407;6906531;16378985;366799
17;4;81000;81000;10701;32;1400;6047;4672;1296;1400;1375;0.13211111111111112;0.0006991358024691359;;2056119;11665687;175825;9649324;6461927;1927549;4233318;6648831;15841999;1941460
18;3;87500;87500;2829;70;1296;1629;629;983;1296;1000;0.03233142857142857;0.0006472;;509642;14290046;85825;27093252;2775022;509644;1139642;9556865;18592302;512331
19;2;90720;90720;4342;524;1250;2696;1655;1006;1250;1041;0.04786155202821869;0.0006242283950617284;;782216;28434801;230421;41936715;7858573;782218;1071873;9983681;18484011;787173
20;1;94500;94500;2249;995;994;1347;726;593;1200;621;0.0237989417989418;0.0005992592592592592;;405253;143502687;119106162;3610798453;20217966;405247;1093421;10033023;19347443;409692
;;113430795;;;;;27419;;;;45788;0.9715312433862434;0.028231603086419754;0.9997628464726631
;;;;;;;-0.6699369050658303;;;;;
