ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;10000;10000;186;0;11340;0;0;0;11340;0;0.0186;0.004019999999999999;;33683;33685;175571;199718;33683;33687;33689;173502;199845;33687
2;19;15750;15750;363;0;7200;0;0;0;7200;0;0.023047619047619046;0.0025523809523809527;;65537;65543;40571;241951;65537;65545;65547;38511;241977;65545
3;18;22500;22500;4264;0;5040;2340;0;0;5040;2340;0.1895111111111111;0.0017866666666666669;;768213;898015;85571;315455;797212;768214;896923;83511;315572;796964
4;17;25200;25200;355;0;4500;0;0;0;4500;0;0.014087301587301588;0.0015952380952380953;;64092;64098;31571;1091819;64092;64100;64102;29511;1092021;64100
5;16;35000;35000;1064;0;3240;720;0;0;3240;720;0.0304;0.0011485714285714285;;191850;271563;175571;1163995;206755;191851;271413;173511;1164310;206669
6;15;39375;39375;958;0;2880;180;0;0;2880;180;0.02433015873015873;0.001020952380952381;;172637;178097;18071;1364048;172637;172645;177986;16011;1364450;172645
7;14;42000;42000;168;0;2700;0;0;0;2700;0;0.004;0.0009571428571428571;;30432;30575;175571;1545100;30432;30440;30577;173512;1545569;30440
8;13;45360;45360;375;0;2500;140;0;0;2500;140;0.008267195767195767;0.0008862433862433862;;67696;187924;10820;1583832;69551;67700;187360;8410;1584394;69546
9;12;60000;60000;7837;0;1890;3730;0;0;1890;3730;0.13061666666666666;0.00067;;1411693;2721944;217955;1660053;1915198;1411694;2722289;215948;1660683;1913928
10;11;63000;63000;508;0;1800;70;0;0;1800;70;0.008063492063492064;0.0006380952380952382;;91632;169177;249894;3205350;93475;91640;168758;247887;3205231;93473
11;10;78750;78750;305;0;1440;160;30;0;1440;130;0.003873015873015873;0.0005104761904761905;;55099;210998;296898;3305600;64443;55103;210835;295004;3305569;62257
12;9;84000;84000;6740;0;1350;3200;-40;0;1350;3240;0.08023809523809523;0.00047857142857142857;;1260756;4170842;215043;3369249;1933279;1260330;4105351;213047;3369293;1910703
13;8;90720;90720;525;0;1250;290;20;0;1250;270;0.005787037037037037;0.0004431216931216931;;94692;2472034;87740;5501810;132939;94696;2470155;85392;5500843;131558
14;7;105000;105000;6136;0;1080;1930;-4;0;1080;1934;0.05843809523809524;0.00038285714285714285;;1105406;3783221;376540;5651908;1650039;1105407;3781581;374519;5650609;1640005
15;6;129600;129600;536;0;875;85;-8;0;875;93;0.004135802469135802;0.00031018518518518515;;96681;2515159;31575;7049871;122255;96685;2655458;29515;7047811;138333
16;5;131250;131250;437;0;864;112;-3;0;864;115;0.0033295238095238096;0.00030628571428571423;;78848;2674270;40575;7148591;136701;78852;2672850;38515;7589276;144245
17;4;141750;141750;12417;0;800;3428;68;0;800;3360;0.08759788359788359;0.00028359788359788357;;2283197;9347393;115030;7475822;5175109;2282771;9254473;113014;7446968;5102595
18;3;168000;168000;5253;0;675;1345;2;0;675;1343;0.031267857142857146;0.00023928571428571429;;946338;9925681;1734766;10822288;2335145;946339;9919673;1732860;10817554;2168777
19;2;189000;189000;797;0;600;191;14;0;600;177;0.004216931216931217;0.0002126984126984127;;143652;8040897;350933;14902950;360786;143656;5757983;349036;14896373;342088
20;1;810000;810000;41670;0;140;2327;-3;0;140;2330;0.051444444444444445;4.9629629629629625e-05;;23322902;37752809;995203;15055670;29203422;23311282;37734215;993308;15049182;29188813
;;113400000;;;;;20248;;;;20172;0.7812522310405644;0.018491999999999998;0.7997442310405644
;;;;;;;0.00375345713156855;;;;;
