ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter
1;20;15750;15750;20;0;7200;0;0;0;7200;0;0.0012698412698412698;0.0025523809523809527;3801;3801;40522;195743;3797;3803;38515;199839;
2;19;25200;25200;1292;0;4500;0;0;0;4500;0;0.05126984126984127;0.0015952380952380953;232891;237730;31522;207273;232890;237769;29515;211245;
3;18;33750;33750;3285;0;3360;960;10;0;3360;950;0.09733333333333333;0.001191111111111111;591877;861412;40522;447414;591876;861254;38501;1176420;
4;17;37800;37800;592;0;3000;60;11;0;3000;49;0.01566137566137566;0.0010634920634920635;106770;122921;32300;1046621;106766;125577;29996;1666211;
5;16;39375;39375;656;0;2880;0;-79;0;2880;79;0.01666031746031746;0.001020952380952381;118279;123751;18022;1160889;118275;369545;16015;1823943;
6;15;40000;40000;3735;0;2835;1395;193;0;2835;1202;0.093375;0.0010049999999999998;672845;1673356;175522;1286224;672846;1547181;173512;1475621;
7;14;42000;42000;829;0;2700;120;30;0;2700;90;0.01973809523809524;0.0009571428571428571;149423;1449811;175522;1966562;149419;758516;173501;2317273;
8;13;45000;45000;3126;0;2520;1498;553;0;2520;945;0.06946666666666666;0.0008933333333333334;563230;1666204;175527;2123673;563248;931119;173519;2891515;
9;12;47250;47250;2127;0;2400;480;155;0;2400;325;0.045015873015873016;0.0008507936507936508;383303;1325059;52665;2698711;383287;1327724;50630;3643233;
10;11;50400;50400;4198;0;2250;1605;314;0;2250;1291;0.0832936507936508;0.0007976190476190477;756313;3460087;272677;3104993;756314;2204913;270646;3485327;
11;10;54000;54000;2462;0;2100;660;-88;0;2100;748;0.045592592592592594;0.0007444444444444445;443622;2874193;175527;3870120;443600;2240809;173519;4453383;
12;9;56700;56700;881;0;2000;310;24;0;2000;286;0.015537918871252205;0.000708994708994709;158788;1956844;13527;4320438;158786;1629147;11519;4437050;
13;8;65625;65625;1152;0;1728;441;-49;0;1728;490;0.017554285714285713;0.0006125714285714285;207677;4082161;18027;4491148;207679;3917128;16019;6866151;
14;7;70875;70875;4025;0;1600;1644;-140;0;1600;1784;0.056790123456790124;0.0005671957671957671;725170;5118268;18027;4962013;725171;4558438;16019;6027921;
15;6;75000;75000;1928;0;1512;791;6;0;1512;785;0.025706666666666666;0.000536;347351;5461410;175527;5682851;347349;5243761;173519;7952066;
16;5;78750;78750;202;0;1440;59;-9;0;1440;68;0.0025650793650793652;0.0005104761904761905;36558;2695344;179463;6054387;36556;2635710;177488;6986304;
17;4;81000;81000;8649;0;1400;4247;822;0;1400;3425;0.10677777777777778;0.0004962962962962963;1557979;8934548;175527;6111750;1557983;6085871;173519;6591983;
18;3;84000;84000;2245;2;1350;1074;255;0;1350;819;0.026726190476190476;0.00047857142857142857;404539;9910259;333465;12226287;404538;5533535;331494;9464740;
19;2;90000;90000;5214;20;1260;2324;499;0;1260;1825;0.05793333333333334;0.0004466666666666667;939323;13040745;747299;21067217;939301;5486011;745277;10039372;
20;1;90720;90720;3092;35;1250;1408;175;0;1250;1233;0.03408289241622575;0.0004431216931216931;557110;14207300;24327;24413269;557111;7066756;22319;11578403;
;;113400000;;;;;19076;;;;16394;0.8823508553791888;0.017471402116402118;0.8998222574955909;;;;;;;;
;;;;;;;0.1405955126860977;;;;;;;;;;;;;;;
