ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;10000;10000;857;0;11340;0;0;0;11340;0;0.0857;0.004019999999999999;;154451;154453;175551;196294;154451;154455;154589;173514;199848;154455
2;19;20000;20000;2492;0;5670;0;0;0;5670;0;0.1246;0.0020099999999999996;;449001;466108;338617;359448;450187;448988;466394;336622;362867;450174
3;18;22500;22500;325;0;5040;0;0;0;5040;0;0.014444444444444444;0.0017866666666666669;;58703;63393;85551;816454;58703;58707;63193;83514;819939;58710
4;17;30240;30240;1322;0;3750;480;2;0;3750;478;0.04371693121693122;0.0013293650793650795;;238294;872005;9951;883180;279471;238295;872340;7914;941020;279343
5;16;33750;33750;264;0;3360;30;30;0;3360;0;0.007822222222222222;0.001191111111111111;;47721;301070;40551;1129681;49400;47729;54245;38514;1133359;47729
6;15;39375;39375;42;0;2880;0;-2;0;2880;2;0.0010666666666666667;0.001020952380952381;;7754;7760;18051;1185596;7754;7762;7898;16014;1847533;7762
7;14;42000;42000;1448;0;2700;340;-98;0;2700;438;0.03447619047619047;0.0009571428571428571;;260972;1161234;175551;1201612;287596;260972;1268331;173515;2045419;297994
8;13;52500;52500;5856;0;2160;2400;37;0;2160;2363;0.11154285714285714;0.0007657142857142857;;1054864;2381045;85555;1471029;1395465;1054864;2178214;83518;2973959;1406572
9;12;56250;56250;507;0;2016;142;-35;0;2016;177;0.009013333333333333;0.0007146666666666666;;91462;1400337;40555;2706563;114950;91466;1260233;38518;3985508;117535
10;11;60480;60480;1646;0;1875;816;-43;0;1875;859;0.027215608465608467;0.0006646825396825397;;296616;2678093;257480;2804168;483155;296603;2577875;255469;5443113;473597
11;10;63000;63000;1845;0;1800;730;-90;0;1800;820;0.029285714285714286;0.0006380952380952382;;332421;1752745;175555;3112115;476245;332409;1447970;173509;5025861;490389
12;9;64800;64800;600;0;1750;135;-124;0;1750;259;0.009259259259259259;0.0006203703703703703;;108190;1801581;31555;3450376;131301;108194;1992402;29518;5487927;157357
13;8;67500;67500;790;0;1680;221;-111;0;1680;332;0.011703703703703704;0.0005955555555555556;;142394;1506081;210132;3567099;190735;142398;1840105;208238;5502070;217962
14;7;70000;70000;9056;0;1620;4618;837;0;1620;3781;0.12937142857142858;0.0005742857142857142;;1631347;5896915;338708;3718225;2840351;1631350;3515557;336714;3720522;2388666
15;6;70875;70875;2617;0;1600;1266;19;0;1600;1247;0.03692416225749559;0.0005671957671957671;;471498;6788369;18055;6533440;1011990;471496;3415225;16018;6533504;818009
16;5;75000;75000;547;0;1512;199;-21;0;1512;220;0.007293333333333333;0.000536;;98653;3420167;175555;7017275;159885;98657;2503182;173518;6991291;151773
17;4;84000;84000;7609;0;1350;3503;572;0;1350;2931;0.09058333333333334;0.00047857142857142857;;1370656;8986941;445791;7128382;3725316;1370656;5530120;443796;7098273;2658264
18;3;84375;84375;1669;3;1344;858;96;0;1344;762;0.01978074074074074;0.00047644444444444443;;300732;9401674;18055;10839605;1085546;300734;6053824;16018;9640600;668643
19;2;90720;90720;6690;71;1250;3451;528;0;1250;2923;0.07374338624338625;0.0004431216931216931;;1205129;17722350;264736;20641616;5186120;1205130;9347559;262726;9949718;2748538
20;1;94500;94500;1167;93;1200;608;107;0;1200;501;0.01234920634920635;0.0004253968253968254;;210376;13598644;85555;35929630;1028361;210378;6109916;83518;12074511;425484
;;113400000;;;;;19797;;;;18093;0.8798925220458554;0.019815338624338628;0.899707860670194
;;;;;;;0.08607364752235187;;;;;
