ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;12000;12000;231;0;84;0;0;0;84;0;0.01925;0.0033499999999999997;;41777;41777;176397;192636;41777;41779;41781;174004;190625;41779
2;19;16000;16000;430;0;63;0;0;0;63;0;0.026875;0.0025125;;77590;77596;176211;242303;77590;77598;77600;174236;251916;77598
3;18;16000;16000;23;0;63;0;0;0;63;0;0.0014375;0.0025125;;4337;4337;262114;327205;4337;4345;4347;174255;315897;4345
4;17;17000;17000;472;0;59;0;0;0;59;0;0.02776470588235294;0.002364705882352941;;85155;89995;175567;338862;85239;85163;89881;173550;336914;85239
5;16;20000;20000;1823;0;50;4;0;0;50;4;0.09115;0.0020099999999999996;;328479;428785;175567;431578;338151;328480;428709;173550;429743;338067
6;15;23000;23000;964;0;44;10;-1;0;44;11;0.04191304347826087;0.0017478260869565217;;173714;272373;175567;767675;176334;173716;331067;173550;765932;180029
7;14;24000;24000;1225;0;42;5;1;0;42;4;0.051041666666666666;0.0016749999999999998;;220837;408329;227958;949059;237541;220838;323444;225682;1103956;228715
8;13;24000;24000;825;0;42;5;2;0;42;3;0.034375;0.0016749999999999998;;148701;336260;457461;1177483;158643;148709;247952;326055;988086;156860
9;12;26000;26000;1956;0;39;19;0;0;39;19;0.07523076923076923;0.001546153846153846;;352415;1139383;175571;1333937;422432;352417;802624;173554;1332476;415709
10;11;27000;27000;1413;0;37;10;-1;0;37;11;0.052333333333333336;0.001488888888888889;;254683;1257962;176219;1694174;318898;254686;784010;174745;1749699;315594
11;10;27000;27000;271;0;37;3;1;0;37;2;0.010037037037037037;0.001488888888888889;;48979;489402;439744;1956618;65354;48983;152877;174250;1692845;53286
12;9;28000;28000;574;0;36;3;1;0;36;2;0.0205;0.0014357142857142856;;103515;895887;176406;2013515;133651;103519;290743;174030;2012354;111654
13;8;30000;30000;1634;0;34;12;4;0;34;8;0.05446666666666666;0.00134;;294463;860411;175571;2124939;355828;294464;498457;173554;2123859;323735
14;7;31000;31000;256;0;33;3;0;0;33;3;0.008258064516129033;0.001296774193548387;;46276;233832;176406;2482361;58117;46280;233398;174030;2480954;58087
15;6;34000;34000;63;0;30;0;0;0;30;0;0.0018529411764705882;0.0011823529411764705;;11528;11670;270116;2536780;11528;11536;11671;268114;2646636;11536
16;5;38000;38000;1005;0;27;9;0;0;27;9;0.026447368421052633;0.0010578947368421053;;181243;1296536;176406;2556360;273673;181246;1239688;174030;2776889;291775
17;4;43000;43000;1819;0;24;17;0;0;24;17;0.04230232558139535;0.0009348837209302325;;327749;1829281;175561;2745699;573540;327730;1829519;173535;2871929;560847
18;3;61000;61000;3656;0;17;31;-1;0;17;32;0.059934426229508196;0.000659016393442623;;658653;2776256;175561;3186453;1365825;658653;2701551;173535;5793082;1473914
19;2;66000;66000;11364;0;15;97;12;0;15;85;0.17218181818181819;0.0006090909090909092;;4660010;7891722;199472;4294438;6057953;4012077;6524756;195683;4292338;5092385
20;1;98000;98000;4996;1;10;36;1;0;10;35;0.05097959183673469;0.00041020408163265306;;954884;10808126;175571;10954293;6143845;954437;10138561;173554;10948710;4766164
;;1000000;;;;;264;;;;245;0.8683312582381955;0.03129739485561876;0.8996286530938142
;;;;;;;0.07196969696969698;;;;;
