ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;10000;10000;330;0;11340;0;0;0;11340;0;0.033;0.005663;;59591;59593;175557;194469;59591;59595;59597;173531;197710;59595
2;19;25200;25200;5811;0;4500;2160;-62;0;4500;2222;0.2305952380952381;0.0022472222222222225;;1046790;1135811;31828;262615;1084516;1046791;1135969;30003;1181090;1085576
3;18;28350;28350;3608;0;4000;1763;388;0;4000;1375;0.1272663139329806;0.0019975308641975308;;650013;1795455;4836;1316214;795552;650015;734892;12003;1755782;675633
4;17;30240;30240;757;0;3750;151;-27;0;3750;178;0.025033068783068782;0.0018726851851851853;;136443;216319;10802;2046801;138963;136435;216898;8426;2467834;139472
5;16;33750;33750;2022;0;3360;1214;84;0;3360;1130;0.05991111111111111;0.001677925925925926;;364397;2390187;40557;2191544;534998;364396;2315567;38531;3460513;521842
6;15;37800;37800;1655;0;3000;741;151;0;3000;590;0.043783068783068785;0.0014981481481481482;;298218;1419073;31826;2570346;351138;298218;749963;30019;3341318;317388
7;14;40000;40000;1854;0;2835;1168;172;0;2835;996;0.04635;0.00141575;;334046;2971008;243932;2886802;591133;334036;2660816;241949;4205148;560318
8;13;47250;47250;1239;0;2400;739;-59;0;2400;798;0.026222222222222223;0.0011985185185185185;;223329;2592046;40830;3225801;325740;223332;2824038;39043;4925882;369225
9;12;50000;50000;2138;0;2268;1043;-181;0;2268;1224;0.04276;0.0011326;;385283;3668229;243873;3461288;699244;385272;3257165;241871;5900652;721658
10;11;52500;52500;966;0;2160;363;-105;0;2160;468;0.0184;0.0010786666666666666;;174082;3846141;85830;3925598;253701;174086;3219130;84067;6594339;314230
11;10;60000;60000;4713;0;1890;2734;194;0;1890;2540;0.07855;0.0009438333333333334;;849025;4711336;244121;4099775;1833248;849013;3788336;242086;6686801;1799870
12;9;60480;60480;1103;0;1875;615;67;0;1875;548;0.01823743386243386;0.0009363425925925927;;198863;4807641;156385;8006779;488824;198853;3610398;182949;7700625;422806
13;8;65625;65625;2479;0;1728;1414;-1;0;1728;1415;0.0377752380952381;0.0008629333333333332;;446656;8167513;18071;8196632;1313539;446660;4664748;16054;8261866;1177893
14;7;67500;67500;3096;5;1680;1832;300;0;1680;1532;0.04586666666666667;0.000838962962962963;;557852;8686943;459297;8906204;1900508;557838;4012959;457313;8969032;1249464
15;6;70000;70000;3605;48;1620;2328;408;0;1620;1920;0.0515;0.0008089999999999999;;649448;10043707;243921;17509421;2979628;649450;4405275;241947;9014177;1668079
16;5;72000;72000;741;49;1575;493;69;0;1575;424;0.010291666666666666;0.0007865277777777777;;133545;9557815;175830;30336747;764121;133575;4220711;174067;9494750;321898
17;4;78750;78750;1282;94;1440;748;119;0;1440;629;0.01627936507936508;0.0007191111111111111;;231065;13073855;130840;34837224;1483807;231067;6638203;186159;10830802;650244
18;3;84375;84375;185;73;1344;145;50;0;1344;95;0.0021925925925925928;0.0006711703703703703;;33466;12079505;63332;40757773;274442;33496;7711434;362363;11705625;102370
19;2;87500;87500;677;114;1296;494;176;0;1296;318;0.007737142857142857;0.0006472;;122036;17657843;85832;48726356;1241884;122056;7723566;202834;12177714;433466
20;1;90720;90720;3658;933;1250;2836;1335;0;1250;1501;0.04032186948853615;0.0006242283950617284;;658985;34941197;223861;54190789;11898855;658988;10440460;219028;12313901;2305937
;;113400000;;;;;22981;;;;19903;0.9620729982363317;0.02762135740740741;0.9896943556437392
;;;;;;;0.13393673034245682;;;;;
