ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads;;FPS Min Work Jitter;FPS Max Work Jitter;FPS Min Release Jitter;FPS Max Release Jitter;FPS Avarage Work Jitter;EDF Min Work Jitter;EDF Max Work Jitter;EDF Min Release Jitter;EDF Max Release Jitter;EDF Avarage Work Jitter
1;20;18900;18900;818;0;6000;0;-2755;2757;5999;2755;0.04328042328042328;0.002126984126984127;;147447;147449;13831;195894;147447;147437;165253;11989;8620913;147452
2;19;25200;25200;25;0;4500;0;-1807;1805;4499;1807;0.000992063492063492;0.0015952380952380953;;4692;4841;32286;352006;4693;4695;15843;30049;9741332;4699
3;18;26250;26250;608;0;4320;0;-1974;1972;4319;1974;0.023161904761904762;0.0015314285714285714;;109635;109778;40821;364668;109635;109639;271107;39025;9811888;109643
4;17;28350;28350;364;0;4000;80;-1483;1556;3999;1563;0.012839506172839505;0.001417989417989418;;65707;189554;4821;482349;67584;65711;188354;21040;9656715;65715
5;16;30240;30240;922;0;3750;30;-1609;1622;3749;1639;0.03048941798941799;0.0013293650793650795;;166164;291585;10788;556299;166183;166164;332620;8449;10354742;166686
6;15;35000;35000;1329;0;3240;540;-940;1459;3239;1480;0.03797142857142857;0.0011485714285714285;;239533;666300;175821;730742;262502;239521;423572;173989;10962786;241020
7;14;47250;47250;4754;0;2400;1365;-253;1581;2399;1618;0.10061375661375661;0.0008507936507936508;;856408;1413619;40821;978550;934674;856379;1316519;935206;12302233;861177
8;13;50000;50000;2249;0;2268;851;-303;1122;2267;1154;0.04498;0.000804;;405260;1945189;175825;1843406;506008;405247;794553;1080005;12382652;409283
9;12;52500;52500;1826;0;2160;558;-483;1024;2159;1041;0.03478095238095238;0.0007657142857142857;;328996;1291868;204623;2260902;370334;328988;681596;2245384;12494275;331262
10;11;54000;54000;965;0;2100;264;-640;891;2099;904;0.01787037037037037;0.0007444444444444445;;173899;1054368;175825;2602587;181207;173899;414032;2582323;12580910;175015
11;10;60000;60000;5888;0;1890;2543;1499;973;1889;1044;0.09813333333333334;0.00067;;1060645;3251079;175825;2785066;1484673;1060626;1488717;2554377;12980577;1071614
12;9;60480;60480;5163;0;1875;2419;1540;830;1874;879;0.0853670634920635;0.0006646825396825397;;930117;4271131;186208;4015015;1524245;930118;1262477;2956337;13010080;938615
13;8;63000;63000;5453;0;1800;2531;1504;984;1799;1027;0.08655555555555555;0.0006380952380952382;;982337;5960642;175835;5094619;1713863;982324;1532187;3159827;12743939;990816
14;7;65625;65625;2265;0;1728;954;258;680;1728;696;0.03451428571428571;0.0006125714285714285;;408143;6126465;18380;6324161;770473;408138;766422;3820056;14053867;411227
15;6;67500;67500;2377;0;1680;1110;499;574;1680;611;0.03521481481481482;0.0005955555555555556;;428311;6899461;85835;7172579;787687;428299;860530;4541067;13834233;433702
16;5;75000;75000;394;0;1512;141;-251;389;1512;392;0.005253333333333333;0.000536;;71113;4615693;175825;7604708;124472;71117;323789;5382114;15750135;71627
17;4;75600;75600;1193;0;1500;438;122;309;1500;316;0.01578042328042328;0.0005317460317460317;;215055;6257887;202030;7690454;435975;215042;825447;6688461;15535649;216611
18;3;87500;87500;8160;3;1296;3568;2885;604;1296;683;0.09325714285714286;0.00045942857142857146;;1469944;9652071;85827;7908359;4134099;1469930;1906287;6707684;17613316;1485342
19;2;94500;94500;13222;428;1200;6207;5663;438;1200;544;0.1399153439153439;0.0004253968253968254;;2542613;20621581;1108256;20792680;11699135;2381704;3202512;7352210;17086861;2413051
20;1;100000;100000;3100;1080;1079;1299;998;266;1134;301;0.031;0.000402;;558553;117938825;60134986;1082568757;18514068;558552;991621;9507903;20548415;566287
;;113400000;;;;;24898;;;;22428;0.9719711199294533;0.017850005291005295;0.9898211252204586
;;;;;;;0.09920475540204032;;;;;
