ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;20;14000;14000;989;0;85715;0;0;0;85715;0;0.07064285714285715;0.002871428571428571
2;19;15000;15000;247;0;80000;0;0;0;80000;0;0.016466666666666668;0.00268
3;18;20000;20000;152;0;60000;0;0;0;60000;0;0.0076;0.0020099999999999996
4;17;26000;26000;1025;0;46154;3516;0;0;46154;3516;0.03942307692307692;0.001546153846153846
5;16;29000;29000;1055;0;41380;8532;0;0;41380;8532;0.03637931034482759;0.001386206896551724
6;15;34000;34000;77;0;35295;0;0;0;35295;0;0.0022647058823529412;0.0011823529411764705
7;14;50000;50000;819;0;24000;1144;-645;0;24000;1789;0.01638;0.000804
8;13;54000;54000;6265;0;22223;32463;455;0;22223;32008;0.11601851851851852;0.0007444444444444445
9;12;56000;56000;1667;0;21429;6332;315;0;21429;6017;0.029767857142857145;0.0007178571428571428
10;11;72000;72000;3255;0;16667;12660;-1481;0;16667;14141;0.045208333333333336;0.0005583333333333333
11;10;75000;75000;10255;0;16000;44063;431;0;16000;43632;0.13673333333333335;0.000536
12;9;77000;77000;11503;0;15585;55799;3040;0;15585;52759;0.14938961038961038;0.0005220779220779221
13;8;84000;84000;5840;0;14286;25486;1295;0;14286;24191;0.06952380952380953;0.00047857142857142857
14;7;85000;85000;3238;0;14118;13817;314;0;14118;13503;0.03809411764705883;0.0004729411764705882
15;6;88000;88000;441;0;13637;1574;-129;0;13637;1703;0.005011363636363637;0.0004568181818181818
16;5;89000;89000;1002;0;13484;4767;358;0;13484;4409;0.011258426966292135;0.00045168539325842697
17;4;91000;91000;1016;0;13187;4635;517;0;13187;4118;0.011164835164835164;0.0004417582417582418
18;3;92000;92000;5424;15;13044;26877;4056;0;13044;22821;0.058956521739130435;0.0004369565217391304
19;2;96000;96000;1020;27;12500;4629;709;0;12500;3920;0.010625;0.00041874999999999996
20;1;99000;99000;964;64;12122;4444;723;0;12122;3721;0.009737373737373737;0.0004060606060606061
;;1200000000;;;;;250738;;;;240780;0.8806457180922974;0.01912239664770006;0.8997681147399975
;;;;;;;0.03971476202250955;;;;;
