ID;Priority;Period;Deadline;WCET;FPS Deadline Miss;FPS Executions;FPS Preemptions;Less;EDF Deadline Miss;EDF Executions;EDF Preemptions;Utilization by work;Utilization by calculable overheads
1;20;30000;30000;91;0;8000;0;0;0;8000;0;0.003033333333333333;0.00134
2;19;36000;36000;2187;0;6667;0;0;0;6667;0;0.06075;0.0011166666666666666
3;18;41000;41000;739;0;5854;0;-35;0;5854;35;0.018024390243902438;0.0009804878048780487
4;17;43000;43000;5277;0;5582;2303;537;0;5582;1766;0.12272093023255815;0.0009348837209302325
5;16;44000;44000;1549;0;5455;330;3;0;5455;327;0.035204545454545454;0.0009136363636363636
6;15;44000;44000;1304;0;5455;720;413;0;5455;307;0.029636363636363638;0.0009136363636363636
7;14;49000;49000;2343;0;4898;1298;150;0;4898;1148;0.04781632653061225;0.0008204081632653061
8;13;52000;52000;435;0;4616;58;-8;0;4616;66;0.008365384615384615;0.000773076923076923
9;12;61000;61000;307;0;3935;47;-37;0;3935;84;0.005032786885245902;0.000659016393442623
10;11;62000;62000;2342;0;3871;1415;125;0;3871;1290;0.0377741935483871;0.0006483870967741935
11;10;69000;69000;150;0;3479;24;-28;0;3479;52;0.002173913043478261;0.0005826086956521739
12;9;70000;70000;3693;0;3429;1901;-38;0;3429;1939;0.05275714285714286;0.0005742857142857142
13;8;71000;71000;50;0;3381;11;-9;0;3381;20;0.0007042253521126761;0.0005661971830985916
14;7;72000;72000;3353;0;3334;2258;564;0;3334;1694;0.04656944444444444;0.0005583333333333333
15;6;73000;73000;3364;0;3288;2422;330;0;3288;2092;0.046082191780821916;0.0005506849315068494
16;5;73000;73000;3838;0;3288;2938;593;0;3288;2345;0.052575342465753426;0.0005506849315068494
17;4;78000;78000;2715;0;3077;1657;218;0;3077;1439;0.03480769230769231;0.0005153846153846154
18;3;79000;79000;4558;0;3038;3409;630;0;3038;2779;0.05769620253164557;0.0005088607594936708
19;2;98000;98000;8640;0;2449;5489;1326;0;2449;4163;0.08816326530612245;0.00041020408163265306
20;1;98000;98000;13289;27;2449;10190;3677;0;2449;6513;0.13560204081632654;0.00041020408163265306
;;240000000;;;;;36470;;;;28059;0.8854897153858734;0.014327647823833825;0.8998173632097072
;;;;;;;0.23062791335344118;;;;;
