Priority;Period;Deadline;ID;Work;Deadline Miss;Executions;Preemptions
0;10000;10000;0;232;0;500;0
0;11340;11340;0;860;0;441;0
0;13230;13230;0;977;0;378;46
0;14112;14112;0;93;0;355;1
0;15120;15120;0;207;0;331;22
0;17280;17280;0;141;0;290;0
0;24192;24192;0;35;0;207;0
0;36288;36288;0;921;0;138;24
0;39375;39375;0;735;0;127;8
0;45000;45000;0;800;0;112;29
0;61250;61250;0;130;0;82;4
0;189000;189000;0;2723;0;27;28
0;212625;212625;0;5547;0;24;65
0;220500;220500;0;4748;0;23;61
0;240000;240000;0;11207;0;21;118
0;254016;254016;0;1244;0;20;16
0;264600;264600;0;3603;0;19;33
0;280000;280000;0;28940;0;18;281
0;282240;282240;0;3897;0;18;37
0;294000;294000;0;8259;0;17;69
0;297675;297675;0;21212;0;17;196
0;330750;330750;0;7578;0;16;65
0;441000;441000;0;16155;0;12;108
0;470400;470400;0;11570;0;11;57
0;472500;472500;0;28923;0;11;176
0;490000;490000;0;21394;0;11;136
0;496125;496125;0;3272;0;11;19
0;508032;508032;0;20802;0;10;113
0;551250;551250;0;4836;0;10;29
0;567000;567000;0;8030;0;9;44
0;588000;588000;0;19310;0;9;100
0;607500;607500;0;77;0;9;0
0;635040;635040;0;25965;0;8;105
hyperperiod;952560000
